id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
788756;https://www.airbnb.com/rooms/788756;"""L'ENDROIT"" in the City Center";4156965;Emilie;f;7e Arrondissement;Entire apartment;Entire home/apt;1 bath;;3;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Patio or balcony"", ""Fire extinguisher"", ""Crib"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Lockbox"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Laundromat nearby"", ""Ceiling fan"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Heating"", ""Cooking basics"", ""Coffee maker""]";45.00;45;2013-04-06;2020-08-28;86;9;9;9;10;9;9;0.48
788788;https://www.airbnb.com/rooms/788788;"""LA HALLE"" with balcony and carpark";4156965;Emilie;f;7e Arrondissement;Entire apartment;Entire home/apt;1 bath;;2;"[""Fire extinguisher"", ""Bed linens"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Smoke alarm"", ""Free parking on premises"", ""Room-darkening shades"", ""Pack \u2019n Play/travel crib"", ""Shampoo"", ""Cooking basics"", ""Elevator"", ""Heating"", ""Coffee maker"", ""TV"", ""Free street parking"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""Building staff"", ""Iron"", ""Stove"", ""Patio or balcony"", ""Essentials"", ""Long term stays allowed"", ""Dedicated workspace"", ""Wifi""]";55.00;35;2013-07-05;2020-09-03;91;9;9;9;10;9;9;0.38
788814;https://www.airbnb.com/rooms/788814;"""LA GRANDE COTE"" - Downtown";4156965;Emilie;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;;2;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Patio or balcony"", ""Fire extinguisher"", ""Crib"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Lockbox"", ""Dryer"", ""Hot water"", ""Wifi"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Smoke alarm"", ""Washer"", ""Single level home"", ""Hangers"", ""Heating"", ""Cooking basics"", ""Coffee maker""]";45.00;60;2013-09-22;2020-10-31;83;9;9;9;9;9;8;0.68
788841;https://www.airbnb.com/rooms/788841;"""LE DECOR"" - Calm and Downtown";4156965;Emilie;f;7e Arrondissement;Entire apartment;Entire home/apt;1 bath;;1;"[""Fire extinguisher"", ""Bed linens"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Room-darkening shades"", ""Pack \u2019n Play/travel crib"", ""Shampoo"", ""Cooking basics"", ""Heating"", ""Lockbox"", ""Coffee maker"", ""TV"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Stove"", ""Paid parking off premises"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Dedicated workspace"", ""Wifi""]";49.00;26;2013-02-15;2020-08-15;88;9;9;10;10;9;9;0.27
792903;https://www.airbnb.com/rooms/792903;Quiet + leafy: Le Jardin des Etats;4177871;Willi Danelzik;t;8e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;1;"[""Refrigerator"", ""Smoke alarm"", ""Pack \u2019n Play/travel crib"", ""Cooking basics"", ""Heating"", ""Garden or backyard"", ""Coffee maker"", ""TV"", ""Free street parking"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Iron"", ""Patio or balcony"", ""Private entrance"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Wifi""]";48.00;66;2014-02-16;2020-11-06;98;10;10;10;10;10;9;0.79
799734;https://www.airbnb.com/rooms/799734;Duplex avec jardin - Lyon centre;3395672;Anaïs;t;1er Arrondissement;Entire apartment;Entire home/apt;2.5 baths;4;5;"[""Shampoo"", ""Kitchen"", ""TV"", ""Oven"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Lockbox"", ""Garden or backyard"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Baby safety gates"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Children\u2019s dinnerware"", ""Cleaning before checkout"", ""Heating"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Bathtub"", ""Dishwasher""]";115.00;94;2013-12-10;2020-10-25;95;10;10;10;10;10;9;1.10
806381;https://www.airbnb.com/rooms/806381;Opéra - Appartement T3 Meublé;1558757;Laurent;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;2;3;"[""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Paid parking on premises"", ""Oven"", ""Refrigerator"", ""Dishes and silverware"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Heating"", ""Cooking basics"", ""Coffee maker""]";62.00;147;2015-05-19;2020-12-06;95;10;10;10;10;10;10;2.16
809514;https://www.airbnb.com/rooms/809514;Charming flat Croix Rousse;4258974;Stéphanie;f;4e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;2;"[""Hot water"", ""Hangers"", ""Cooking basics"", ""Kitchen"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Essentials"", ""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Stove"", ""Wifi""]";62.00;107;2013-04-21;2020-12-26;95;10;10;10;10;10;9;1.14
814300;https://www.airbnb.com/rooms/814300;Bel appartement rénové;3245274;Anton;f;3e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;0;"[""Smoke alarm"", ""Dishes and silverware"", ""Wifi"", ""Kitchen"", ""Carbon monoxide alarm"", ""Heating"", ""Shampoo"", ""Essentials"", ""Washer"", ""Cooking basics""]";65.00;7;2015-09-18;2019-12-08;97;9;10;10;10;9;10;0.11
815342;https://www.airbnb.com/rooms/815342;A room with a view in heart of Lyon;4283369;Line;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;1;1;"[""Bed linens"", ""Refrigerator"", ""Extra pillows and blankets"", ""Pack \u2019n Play/travel crib"", ""Heating"", ""Ethernet connection"", ""Cable TV"", ""Coffee maker"", ""TV"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Paid parking off premises"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Wifi""]";65.00;288;2012-12-11;2020-11-21;86;9;8;9;9;10;8;2.94
822891;https://www.airbnb.com/rooms/822891;"""LE CRAYON"" -  Part Dieu";4156965;Emilie;f;3e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;2;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Fire extinguisher"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Lockbox"", ""Portable fans"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Carbon monoxide alarm"", ""Essentials"", ""Ceiling fan"", ""Hair dryer"", ""Iron"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Heating"", ""Cooking basics"", ""Coffee maker""]";55.00;26;2013-03-10;2020-10-13;95;10;9;10;10;10;9;0.27
854300;https://www.airbnb.com/rooms/854300;Pretty room in the 9th;4461521;Béatrice Et Philippe;f;9e Arrondissement;Private room in house;Private room;1 bath;1;3;"[""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Oven"", ""Cable TV"", ""Iron"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Coffee maker"", ""Hot water"", ""Window guards"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""BBQ grill"", ""Microwave"", ""Essentials"", ""Washer"", ""Dishwasher"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Game console"", ""Ethernet connection"", ""Hair dryer"", ""Free parking on premises"", ""Shampoo"", ""Breakfast"", ""Cooking basics""]";44.00;23;2013-12-09;2018-05-26;98;10;10;10;10;9;10;0.27
875127;https://www.airbnb.com/rooms/875127;private room with double bed;1221016;Romain;f;3e Arrondissement;Private room in apartment;Private room;1 shared bath;1;1;"[""Washer"", ""Cable TV"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Iron"", ""Heating"", ""Kitchen"", ""TV"", ""Smoke alarm"", ""Hot water"", ""Wifi"", ""Hangers""]";25.00;3;2019-12-29;2020-09-04;87;10;10;9;10;9;9;0.25
