id,minutes,n_ingredients
272862,50,6
106179,35,7
381156,90,7
113557,30,11
118540,17,8
314974,315,13
91050,1560,11
180073,20,5
354726,30,11
423430,20,9
144591,10,4
129170,60,8
224312,15,5
418474,165,6
400563,75,17
152357,65,10
29828,15,6
353583,45,11
362960,70,11
52950,80,12
84021,20,11
201316,40,6
276596,495,8
147295,25,9
240086,15,6
134805,35,10
120835,5,3
151741,60,15
223780,30,9
78183,55,14
352940,1,3
192188,55,6
79030,33,8
111496,35,8
56301,60,8
248905,30,7
356517,18,4
17449,20,8
330168,70,14
9751,7,4
98774,50,6
75601,6,8
44999,10,3
142819,50,10
60955,20,8
367812,25,11
216748,120,21
324124,10,8
482024,30,11
189687,380,18
163352,65,11
105309,20,10
318455,40,14
196260,75,13
52631,60,10
383988,5,5
129835,25,9
39732,105,11
9156,30,8
533718,34,15
7975,2,7
136457,40,8
39985,2,2
377083,50,7
134242,150,18
140210,62,9
153719,495,9
95900,120,9
136845,85,9
345275,50,10
321751,35,4
183365,15,7
164538,12,6
116258,50,10
219873,15,13
62547,17,7
381109,25,9
47249,1,8
248411,30,8
479895,30,13
11992,81,17
516546,27,7
224636,40,7
180943,35,10
31626,195,13
472899,110,4
204698,190,6
55237,60,11
81586,60,5
390084,20,4
119066,10,5
150244,40,15
254202,30,13
85523,27,11
165625,30,15
18800,270,17
9325,0,10
422167,45,8
236938,25,6
189785,5,7
333400,20,5
181959,145,16
166130,225,13
311454,33,12
103435,5,5
209175,25,14
370394,50,12
248469,75,4
339478,90,10
74068,150,9
198908,140,12
71966,35,13
427534,22,7
266014,40,5
36400,90,8
59627,60,10
116392,70,14
441056,21,7
260023,70,11
179706,183,8
170226,60,19
195432,25,9
308209,45,11
180438,30,15
53823,95,19
3116,90,24
419771,39,11
25776,75,10
320274,50,8
317184,30,7
232123,85,10
229261,60,14
113400,20,12
20959,270,11
57622,320,8
108713,30,15
298243,10,6
383349,40,11
82863,45,10
235939,105,9
355615,5,5
24517,75,12
223878,250,6
25231,20,8
87443,65,7
239126,25,5
353148,32,10
215108,20,6
384474,10,8
365879,25,8
487806,65,21
221642,23,3
58995,10,5
3201,75,10
108889,50,11
46974,18,5
154814,30,12
108157,25,13
367434,40,8
69049,50,11
501151,10,11
150016,75,9
148648,80,11
271121,60,12
21199,30,8
133975,100,6
146546,13,3
55041,15,7
45603,5,6
31890,57,10
311429,50,4
307722,45,6
257317,30,9
365227,20,12
281384,20,3
138510,255,5
394156,115,11
421345,10,6
368155,45,11
253113,40,7
244054,20,8
369649,30,6
367782,15,11
313208,495,18
322225,75,14
215631,65,8
515142,21,5
60914,25,8
59467,150,11
296953,40,16
122464,40,14
97873,135,9
468972,45,11
69320,10,10
227111,10,5
137167,5,3
503664,70,10
289753,35,6
456475,15,6
264945,3,3
156354,30,4
482670,63,12
14807,19,7
203648,30,18
11070,30,6
26220,25,5
298230,37,4
58921,75,10
330073,55,9
92712,200,12
108469,10,4
94265,40,6
129224,25,9
245817,185,7
182353,65,11
497326,45,4
319486,30,6
425157,25,19
69111,55,7
358814,10,3
200479,35,10
433600,25,7
513395,60,10
163752,60,8
421802,10,9
45241,55,7
265812,50,8
459313,9,6
505248,75,13
443151,85,15
213528,5,7
112817,90,5
175868,35,10
279479,15,8
133318,27,6
8419,10,8
416029,30,18
402548,45,17
415591,45,13
48167,55,11
103694,15,7
240208,10,3
147800,45,10
372038,625,10
340198,100,9
94642,35,17
248543,45,12
158682,10,7
410592,14,9
248687,5,6
496883,35,17
460800,190,9
390718,20,7
423795,90,8
436396,40,7
33975,6,5
189621,3,2
174874,25,5
392906,25,4
129926,45,10
226675,40,20
150366,210,16
93249,13,3
241080,30,11
57527,35,6
99491,15,4
74717,20,6
320157,20,6
68552,21,15
188466,10,5
42561,25,6
270401,70,10
213900,30,17
471731,50,18
196119,10,11
48464,40,12
157702,35,4
11689,50,10
468664,60,12
470093,120,13
412284,35,6
15937,60,17
78729,45,10
217823,35,10
207308,30,10
93205,10,11
146539,70,6
400516,9,6
371238,600,13
465102,35,5
83848,50,10
388247,30,10
271683,120,15
306673,46,8
369438,125,7
7309,33,9
221946,50,21
168220,32,4
23423,95,7
241956,50,8
212363,30,8
359919,10,8
11083,57,12
345733,190,14
377943,40,12
129906,27,9
142226,140,19
301632,35,4
278855,50,8
257111,70,8
271954,240,12
28292,25,7
134270,60,9
134305,50,12
374144,25,7
431192,40,16
11179,50,6
238513,12,8
133433,210,9
69640,10,2
254951,2,2
90676,45,8
471666,20,4
135161,25,7
22437,15,6
144231,200,9
39338,15,10
283069,35,11
104467,30,10
306883,12,8
158524,95,12
247887,12,9
429022,65,9
353825,60,7
51472,15,9
493351,20,3
88674,75,13
216689,45,13
335180,5,2
92516,25,10
130325,10,11
296094,29,10
302050,20,4
62549,30,6
99814,25,13
73265,13,6
50005,5,8
108197,5,5
87641,30,9
271906,20,4
304238,20,9
10749,6,6
356428,120,15
208006,65,7
59903,55,11
13749,10,11
124398,30,11
62887,30,10
278595,5,5
399494,45,11
227295,75,12
67076,75,7
22760,65,9
347371,35,6
352343,40,5
51834,35,9
505132,50,5
293465,35,6
131091,30,6
209960,45,7
316766,15,10
237062,55,17
99949,60,3
407164,15,9
62354,55,8
62101,36,14
2828,0,8
57247,60,5
172800,15,13
120778,90,11
33443,60,5
285688,85,17
143520,20,10
260609,50,5
24579,32,5
178128,1,4
295385,60,14
54223,85,19
164212,20,5
332489,27,8
34765,1,4
137916,1,3
50150,35,3
362395,33,11
387288,660,19
109575,70,12
436291,40,13
237268,20,7
38685,65,10
403510,45,10
57102,60,6
177386,3,6
124171,28,13
402065,20,14
152866,30,11
8008,0,11
30180,30,9
254779,40,9
233481,30,9
287868,110,14
11737,255,35
418840,250,17
176690,20,9
4675,0,9
26926,45,5
530231,315,5
134594,45,10
198286,30,10
133201,21,10
41966,35,6
26718,55,13
183599,35,9
441260,25,8
18487,90,8
460354,70,14
330831,55,8
358195,25,8
509970,65,14
45915,5,6
126527,210,11
445190,15,7
60968,111,11
109283,20,9
91891,35,14
111556,50,9
260210,45,10
282644,570,11
263253,25,6
180817,215,8
306749,63,18
328705,15,8
9803,105,14
248162,30,12
367054,195,15
98266,28,15
175258,50,8
164597,20,11
109697,65,7
111174,15,7
40970,640,11
266865,60,20
276106,60,9
230188,5,4
443812,40,10
185200,90,7
211827,10,5
340039,80,7
384321,35,8
188432,60,11
446468,435,9
332688,55,7
117528,75,10
168090,20,10
270045,90,11
311630,35,15
177399,32,9
459830,15,8
135373,20,8
353979,20,9
161278,70,16
92113,30,16
293142,55,7
115469,35,10
314445,40,6
38944,135,6
76296,10,18
386356,45,8
411254,45,6
6673,0,10
222447,15,10
173494,13,5
431768,40,8
71537,75,13
124123,10,8
429065,11,6
174187,30,5
144078,70,11
155329,15,4
487020,45,9
81133,90,10
280993,245,6
73637,130,5
20782,14,4
443573,70,10
280534,310,12
182009,60,13
133170,11,6
33433,40,9
391569,20,13
420892,35,10
288866,105,8
444946,25,14
481490,15,8
162445,165,23
271213,35,9
20921,45,11
141368,15,9
34923,15,4
35093,20,5
164333,1,5
62022,730,6
118577,75,7
492,15,6
179583,35,9
382924,10,6
277510,255,9
141416,20,13
482903,40,9
164584,65,14
116374,140,11
464960,90,15
200170,50,4
325299,43,13
318725,20,8
272348,485,11
6469,0,12
447909,17,8
36845,250,6
6594,45,10
149657,430,11
81518,25,14
225833,55,11
151782,30,8
193839,90,14
106393,55,9
80723,120,8
300307,20,8
124809,25,6
327370,105,16
243623,20,6
114204,40,10
92549,30,21
58652,38,5
347673,55,6
376019,30,10
384765,15,8
333447,45,4
436741,5,2
178323,50,7
44343,60,12
227046,15,7
138803,105,6
371883,60,7
28193,75,9
188906,90,10
340730,140,10
60725,70,9
54742,45,12
277884,35,4
300991,20,10
305710,50,12
449905,2,7
350218,50,10
13249,25,4
122528,40,9
42400,35,10
116391,165,13
296792,75,7
88539,50,10
325800,35,10
134748,75,22
231547,30,7
359826,15,8
112343,130,7
213327,60,12
219401,40,10
265632,70,7
364325,3,5
387691,5,3
183224,10,9
444160,20,10
307355,10,6
116681,75,16
232298,5,7
351855,135,11
428239,10,3
299516,65,11
68717,80,11
190873,180,5
45462,20,7
161549,5,7
54350,50,12
441825,45,17
315217,55,8
308525,30,14
344452,170,15
453965,45,12
38582,10,3
170929,7,8
327285,200,14
243424,30,7
110058,15,10
314784,30,12
92697,75,6
422764,20,6
67637,50,7
59220,45,7
135046,20,7
310244,15,5
125301,10,13
451374,5,3
432065,2,7
43663,90,7
17298,240,7
138542,90,21
332022,35,17
323287,75,16
348992,35,4
308041,20,7
135214,80,14
319368,250,12
409492,45,10
3095,10,2
432460,35,10
217779,30,9
53650,75,14
370473,40,11
219732,5,3
264490,5,4
415870,5,9
24193,10,4
12667,221,11
422347,485,12
155486,40,8
160119,25,9
107318,270,8
34028,10,11
526222,30,9
162077,20,15
431138,15,6
369982,7,3
16215,10,8
44471,65,10
88111,80,15
63443,20,5
480706,360,14
292108,20,7
342032,90,7
98502,55,10
5320,0,10
311927,10,6
14666,30,13
95658,48,10
83770,20,9
143329,150,15
128486,75,6
303627,90,4
317715,130,5
251664,60,6
112096,80,10
78696,15,4
21138,130,6
427676,60,16
411722,40,16
326922,30,6
38945,59,16
267565,75,13
373349,15,7
416347,50,14
41743,70,9
137995,70,11
319857,15,10
197275,20,8
59503,5,5
308187,75,5
126259,30,11
155984,35,12
115050,490,4
329792,5,5
146866,45,5
64654,20,9
106896,195,6
50824,45,15
77908,80,12
194830,15,8
58137,60,6
266768,55,6
438332,100,17
31288,55,7
8801,110,11
229251,35,11
345531,33,4
45452,495,7
297051,45,10
459165,2190,14
532420,35,11
25488,20,7
108124,20,5
115674,40,12
446888,15,3
145779,10,5
420150,95,8
320497,22,10
141239,20,10
172760,13,9
93367,10,5
261482,120,14
297723,5,5
380398,15,17
350487,115,14
107965,21,15
518148,110,13
353962,120,8
54520,15,7
85934,5,6
259888,30,10
175737,15,6
265500,80,12
405048,40,10
129967,2,3
342985,5,10
404359,40,14
121264,70,13
106475,40,9
144950,25,14
13668,40,6
187638,135,14
183803,75,9
83960,20,5
100259,40,6
22995,50,7
521630,300,12
191607,10,4
81322,96,15
212253,50,10
95689,80,11
44860,40,8
420944,370,8
264028,2,7
196899,10,9
253558,23,7
37516,25,6
459367,35,6
134947,15,8
316525,25,11
54197,35,8
275580,45,6
49413,75,12
79199,520,19
364367,50,6
294887,32,8
135204,70,13
491504,30,9
258147,20,9
126054,30,7
273102,3,6
321733,140,2
371026,40,7
307688,13,6
200766,10,6
495893,40,12
231946,75,7
74827,7,6
273722,50,9
66987,56,6
46225,45,4
30229,35,3
217144,25,9
134563,50,12
144288,75,15
351702,55,6
351046,60,11
413212,75,12
71649,70,5
531179,105,14
76492,80,5
14450,1,5
254454,75,9
165679,65,11
33599,25,6
250257,35,22
690,120,8
92762,25,9
43859,35,14
142324,80,13
112875,1460,14
18537,100,4
48229,60,9
443613,75,15
13863,60,11
93446,40,10
65481,80,13
164344,10,8
363605,55,11
247018,7,5
259879,300,10
335511,40,14
418884,5,7
82617,55,7
456681,30,11
55550,25,8
83626,510,14
29844,14,10
131263,25,9
287493,5,7
117558,45,14
232144,60,15
159058,30,9
253099,30,6
37139,60,15
14260,25,7
421574,15,10
288519,40,8
505085,40,13
310271,2,5
8474,55,5
149144,10,5
195188,10,6
380285,65,4
244096,90,10
422451,135,12
325353,25,7
14764,30,5
340604,65,6
300801,80,6
522186,38,16
136318,90,14
109308,20,7
132192,195,6
141503,30,5
6428,105,6
198660,30,12
369785,2,6
374316,7,7
182249,90,13
473216,40,10
98136,30,6
38408,35,9
185915,5,4
287825,30,12
88239,50,13
231636,15,6
286750,25,14
254431,10,7
67321,500,11
125686,40,7
229876,1450,4
303406,35,10
108352,15,9
116903,77,9
318025,30,5
312712,60,7
245107,5,11
205312,20,7
221349,15,4
357761,15,5
31021,10,5
123829,35,11
98708,15,4
388777,15,8
200805,16,6
461439,10,7
66974,70,12
145016,195,5
464889,120,10
283309,55,6
89802,75,6
209011,40,5
378980,60,10
393475,50,10
181192,40,8
515058,30,9
84731,5,8
143501,25,13
158008,90,11
8750,20,6
72131,101,4
88414,75,9
191547,40,10
301205,30,12
208919,90,16
249588,15,10
493077,25,5
172131,75,13
416784,75,12
162795,35,9
388593,55,7
251173,30,6
243841,110,11
317828,85,7
36198,35,16
134240,35,14
393644,30,7
195893,20,16
324101,260,10
124467,20,15
255365,90,16
152760,8,3
175881,30,7
16887,13,8
22787,15,4
330265,60,8
121212,95,10
335784,120,8
13608,70,5
349216,200,12
72803,15,7
79182,25,9
170547,40,10
338856,65,7
464035,50,13
65541,135,12
94532,35,10
11896,60,10
234147,40,11
41223,15,9
380375,45,11
297673,30,6
82773,10,4
73681,25,7
119632,45,7
392907,30,11
7819,135,8
389564,35,12
481897,70,7
233113,65,3
185405,25,8
104542,105,9
193026,45,11
192018,95,11
119580,25,10
388840,10,6
179655,310,6
207944,110,14
114567,3,4
166129,35,13
397103,30,8
127531,45,5
200735,65,5
39542,55,13
9753,135,17
263677,35,7
172432,50,5
85366,80,12
324327,55,9
295737,40,4
391622,35,11
106885,49,13
224094,30,16
33754,45,8
57317,48,8
287634,105,15
121519,15,11
520788,135,10
414859,60,14
190349,250,7
173587,115,16
369404,50,10
176248,5,4
417125,85,7
29452,17,8
342823,45,12
274464,25,13
459431,35,11
258056,35,12
341348,205,8
230515,20,10
103484,30,16
189225,15,9
211209,30,8
404347,65,8
464704,20,9
335947,101,8
337355,130,18
336713,20,7
283933,55,7
120458,40,12
274622,30,11
29294,20,13
29878,75,10
377749,75,12
493747,30,12
118012,55,9
362714,40,6
140833,90,14
270031,45,11
208930,45,8
284114,30,12
29158,60,19
286204,60,15
466376,60,8
485303,35,8
274579,140,9
434534,495,8
390878,40,6
205945,70,12
322461,45,5
424035,65,4
265056,5,20
86710,15,5
66055,35,13
21717,75,8
34262,15,8
276188,55,11
47316,20,7
282004,30,10
272045,40,15
167530,180,11
72855,60,10
246562,30,7
181063,185,9
294506,30,3
180345,35,10
288848,40,9
360927,30,6
198906,95,18
432030,40,12
382875,2,5
208699,50,8
250762,15,6
80084,65,7
161189,50,7
361680,15,5
338265,6,6
249475,20,10
449637,70,12
337580,30,11
243439,20,6
102749,20,7
164277,5,7
253479,60,14
373608,50,10
363880,50,6
333654,200,13
74691,30,7
470494,5,6
386289,90,11
204369,30,9
357283,60,12
313909,75,11
248856,17,7
404138,200,13
302968,50,13
54203,25,13
224735,50,7
17348,25,11
69414,15,5
173753,45,17
95312,75,5
129551,15,9
130875,160,9
324735,25,9
479260,30,13
18597,60,10
53061,120,15
356961,5,5
6807,55,11
177117,20,12
217799,5,4
429119,40,11
65607,105,5
212716,4,7
190382,250,15
158563,20,7
418909,10,7
279967,23,7
380973,45,7
390531,42,4
323331,15,5
407882,50,12
228683,90,15
281530,45,10
191203,70,5
210120,60,7
414317,65,15
359288,35,10
96845,50,5
131185,27,14
292887,5,3
245927,135,4
442328,5,7
101730,55,21
220292,10,6
149677,30,11
341801,15,4
117535,15,9
323994,40,11
49639,60,5
311692,35,13
196354,130,4
124395,35,9
305130,25,14
217584,140,15
89065,45,4
519091,55,6
356806,40,5
214537,63,19
7910,40,5
17785,310,13
503701,50,9
181653,15,4
238133,22,8
202374,15,9
253001,15,12
115692,35,8
69134,22,5
149168,27,6
27755,15,9
487487,30,13
215667,25,10
416296,65,16
428175,53,9
443183,55,5
155397,50,6
199816,45,15
417565,2,2
440720,45,9
89374,35,7
118883,40,10
163308,50,8
158495,70,12
158189,25,7
362499,35,14
190739,25,11
150329,75,10
55903,5,8
284982,30,9
185951,45,7
135897,70,10
73292,35,4
280038,70,12
488253,560,12
532655,45,5
23244,35,6
277495,2,4
241706,50,4
71074,20,5
84537,65,4
39829,22,7
425119,75,14
99213,50,15
74628,75,2
88514,80,8
246131,30,11
11907,75,7
409847,95,13
72085,60,4
325409,245,4
291305,105,11
113751,25,8
479113,40,6
52384,40,10
132734,85,6
372319,45,7
468147,30,9
355929,10,7
348328,30,7
336627,150,13
266618,15,6
114094,30,6
306447,12,8
102936,35,9
219506,35,9
62200,60,12
375886,5,3
239131,10,5
44289,45,8
265298,33,12
217603,40,8
298116,110,8
334230,40,9
138306,50,6
266572,15,8
25188,25,2
117043,33,10
94811,20,3
167075,15,9
213127,75,5
197452,17,10
471377,10,8
131753,50,5
332172,45,14
444416,72,14
356219,25,8
312940,25,7
514164,11,3
214915,40,6
429788,90,8
261493,15,10
63148,25,5
163491,60,12
255234,500,13
466816,30,13
100197,35,10
110076,270,16
399610,2,5
231603,30,10
239888,70,11
424007,30,11
353143,35,10
201582,20,11
383713,140,15
307745,30,10
333698,65,6
30947,250,6
435511,5,5
13081,50,7
229524,70,10
96886,40,13
120533,25,7
274250,4,3
325571,30,4
332743,130,18
32403,15,8
89791,35,17
232046,15,11
81593,50,10
289986,75,16
356603,45,5
295759,5,4
206958,8,6
25728,15,6
277551,70,12
66478,145,10
220749,55,9
100249,5,6
163301,50,10
416753,180,9
530650,45,14
137030,12,7
102071,30,8
89385,35,10
21520,55,3
146286,10,5
49085,85,11
261611,20,8
94853,110,12
174480,15,11
352034,27,10
208352,5,5
517565,5,6
281119,1,4
456710,20,9
22211,30,2
84042,65,10
123197,35,5
33650,50,10
221621,10,8
328157,35,13
182122,55,12
310300,85,16
387379,30,11
213907,20,10
50585,200,7
388365,50,14
351248,32,14
292358,30,16
143922,190,12
399253,35,9
275267,80,9
448064,5,4
380746,1445,5
382257,35,14
144531,15,7
109669,60,10
475620,30,10
134238,15,18
103795,70,9
22938,128,5
221787,20,7
137627,50,10
61056,320,17
91028,7,7
65687,70,9
362991,10,5
185799,80,13
441960,250,9
441247,60,10
168137,60,16
208743,35,12
33850,135,8
331321,70,17
81130,20,5
299262,195,10
291169,95,19
412356,17,6
211595,65,21
106027,11,9
38979,60,12
137985,40,11
39357,150,12
192894,5,7
239272,20,6
35721,70,11
355244,15,6
383923,12,12
66811,10,5
190035,420,8
34220,5,6
359415,21,8
475812,60,15
441689,45,11
32801,105,9
216638,50,6
307683,45,14
327559,25,10
71521,105,9
129887,90,12
60029,90,12
456354,16,9
116738,45,8
392689,15,11
194829,30,9
305283,5,4
349411,5,7
404794,25,7
85409,735,6
206251,15,7
164316,40,10
61518,45,10
322282,25,7
378231,2,5
139288,15,11
321315,25,8
13751,15,10
89508,22,5
291831,130,6
299566,45,7
41773,5,6
22402,95,19
161073,85,11
169276,45,6
173949,70,11
331899,50,5
315783,30,11
83046,80,11
245468,65,9
275846,50,10
399693,45,9
365757,25,9
403299,85,8
25621,250,7
238353,65,10
152549,27,10
196280,15,9
2793,0,7
453456,25,7
393894,195,12
160634,45,8
187370,30,11
51974,15,8
167274,60,6
124976,30,5
261433,105,13
256760,10,5
4880,0,9
321046,10,4
87284,35,5
45588,60,9
207958,10,5
202218,30,8
84854,11,6
403332,25,9
507271,20,11
61780,5,5
242659,35,11
305888,85,13
254214,90,12
413128,35,13
359727,24,10
165720,5,4
305866,38,9
181114,615,7
97825,30,5
169071,370,12
119518,90,6
428188,10,10
16476,35,7
9544,52,10
335959,230,13
344278,40,9
143724,75,8
225915,30,6
302051,510,17
214125,5,3
485847,12,8
273682,330,7
444386,35,6
365202,45,8
39505,37,5
346139,22,12
473579,40,6
24306,22,12
466423,20,11
3324,0,10
463219,25,11
176523,35,8
423361,15,6
187003,35,12
48720,185,9
35842,40,14
217613,70,9
267518,40,7
109384,18,4
153890,35,9
65816,22,6
142644,45,11
154560,65,12
328438,300,6
338069,5,6
100075,125,13
108252,40,13
91845,20,10
307496,5,2
367593,40,10
76299,30,12
147224,50,11
84281,55,8
201436,22,8
164596,50,14
165077,15,13
45399,195,7
263512,15,2
461605,23,10
436268,20,15
6975,0,8
467208,33,5
181507,20,10
106708,70,8
217686,135,7
436563,40,6
188801,60,11
95788,50,8
35242,55,11
201800,15,5
193350,5,3
92753,60,14
359875,150,15
99024,65,6
43138,15,5
424830,15,4
391173,75,15
210712,255,11
123895,20,5
117046,55,12
372741,65,14
208726,550,14
292944,40,17
204549,60,9
146643,40,8
83049,15,6
33233,85,9
198754,13,7
365228,80,19
88672,55,8
164431,130,5
422071,40,7
277093,9,4
50735,55,13
28998,35,14
251747,55,9
218231,60,12
144144,285,12
14159,10,6
39736,105,10
51568,90,7
120527,105,11
357945,50,9
298662,60,11
89853,80,7
303800,5,6
55034,65,4
366119,115,15
397521,10,5
204913,5,5
100264,65,11
144982,45,7
471881,65,10
358441,85,10
357113,70,7
162507,5,6
127398,25,8
179128,55,9
425814,50,14
379956,30,6
318799,10,5
124879,55,10
47419,90,11
27718,80,14
232409,20,7
5115,0,6
237889,65,9
61510,45,13
249319,30,6
44180,30,9
327641,40,13
272928,45,15
74738,18,6
401304,30,7
264148,40,9
278835,75,13
118876,375,13
102827,15,8
277435,55,8
99387,30,4
315443,30,6
319806,60,14
48376,1445,12
439009,35,11
308165,45,15
168053,30,5
270878,50,6
57768,15,3
206889,60,8
40824,20,7
191976,5,4
458743,65,8
37521,15,6
370077,25,9
297383,18,12
340567,30,8
181666,1,3
351866,65,7
276162,90,16
38377,65,12
317517,5,4
351082,150,12
352023,20,9
214981,60,15
307904,190,11
77851,30,9
88041,30,6
148466,255,7
105714,10,8
303502,55,12
351170,40,9
100689,300,14
421197,50,9
188695,45,8
372786,50,14
266042,25,5
226386,60,7
357516,20,19
290555,60,7
338636,155,9
232102,45,12
511280,250,10
54371,105,6
65189,40,15
230210,30,6
281614,25,8
139843,50,6
7878,30,7
270442,45,11
482482,15,14
365510,20,6
174126,70,7
144062,310,19
292297,40,10
343846,85,12
258265,45,2
251373,45,12
307667,35,6
221645,10,8
27821,40,9
121168,150,11
95776,35,11
104992,90,14
501080,90,11
374517,8,9
324974,30,5
350241,38,8
454462,30,10
277340,30,11
374373,25,7
346640,25,6
127868,60,11
446918,250,6
150752,40,13
390586,15,8
230307,10,7
61954,360,16
14762,20,5
81901,65,10
162223,40,13
69934,5,4
315780,25,15
337680,38,10
177580,85,18
170165,45,6
177092,33,8
88516,150,6
262243,45,7
195559,3,4
62513,20,8
72830,30,10
4367,40,11
26946,20,5
183595,25,8
140051,40,13
411,1465,4
21700,60,8
389482,2890,14
165956,15,9
92430,55,6
66251,8,6
32390,15,6
336916,40,11
160202,405,11
332867,42,5
452916,30,11
96104,35,8
83565,19,11
346999,130,14
137818,55,14
137686,620,13
1446,0,8
280437,125,9
140216,60,12
457996,45,9
248267,45,5
178448,65,9
157590,485,7
414765,30,5
159318,15,9
227484,5,7
394488,60,8
87616,55,7
340497,1865,10
258029,45,9
476742,55,8
146845,40,8
185680,5,5
364217,75,7
331903,10,9
365875,25,8
245885,35,6
106232,600,7
172439,210,18
192056,200,9
11123,25,9
185544,20,14
7279,3,10
67420,50,5
439793,55,4
37932,375,6
121705,55,13
143236,45,12
256909,22,9
102612,10085,4
94825,40,12
138886,40,11
125701,70,7
341708,55,10
78236,195,9
414533,35,10
492249,40,11
20077,90,9
56639,15,16
308437,65,6
377506,10,9
265343,20,6
29868,30,10
445609,310,8
119651,20,5
186161,25,2
531,488,9
450671,690,11
216706,40,14
31234,280,12
285993,40,5
380600,395,12
13867,30,13
41794,40,12
175770,25,13
57718,45,7
117250,35,10
461447,35,9
404754,50,9
