номер,город,население
284,Дмитров,34.4
285,Искитим,34.3
286,Хасавюрт,34.2
287,Новоалтайск,33.9
288,Тайга,33.9
289,Октябрьск,33.8
290,Рассказово,33.8
291,Еманжелинск,33.6
292,Карталы,33.5
293,Тайшет,33.5
294,Волжск,33.4
295,Буйнакск,33.0
296,Канаш,32.9
297,Корсаков,32.9
298,Крымск,32.8
299,Пугачёв,32.7
300,Ртищево,32.7
301,Кинель,32.4
302,Лесозаводск,32.1
303,Советск,31.9
304,Урюпинск,31.8
305,Сафоново,31.7
306,Вязьма,31.6
307,Кашира,31.6
308,Холмск,31.5
309,Мыски,31.2
310,Боготол,30.9
311,Ивантеевка,30.9
312,Кумертау,30.9
313,Полысаево,30.9
314,Чебаркуль,30.9
315,Татарск,30.8
316,Берёзовский,30.6
317,Печора,30.6
318,Невьянск,30.5
319,Верхняя_Пышма,30.4
320,Куйбышев,30.4
321,Бологое,30.3
322,Донской,30.3
323,Кыштым,30.3
324,Слободской,30.3
325,Гурьевск,30.2
326,Россошь,30.2
327,Усть-Лабинск,30.2
328,Шумерля,30.2
329,Камень-на-Оби,30.1
330,Камышлов,30.1
331,Николаевск-на-Амуре,30.1
332,Абдулино,30.0
333,Миллерово,30.0
334,Можга,30.0
335,Пушкино,30.0
336,Богородск,29.9
337,Апшеронск,29.8
338,Балахна,29.8
339,Петровск-Забайкальский,29.8
340,Назарово,29.7
341,Климовск,29.5
342,Бакал,29.4
343,Родники,29.3
344,Ростов,29.2
345,Черняховск,29.1
346,Бердск,29.0
347,Углич,28.9
348,Балей,28.8
349,Сибай,28.8
350,Ефремов,28.7
351,Кирово-Чепецк,28.7
352,Острогожск,28.4
353,Богородицк,28.3
354,Тейково,28.3
355,Гремячинск,28.0
356,Будённовск,27.9
357,Касимов,27.9
358,Отрадный,27.9
359,Аткарск,27.8
360,Всеволожск,27.8
361,Домодедово,27.7
362,Таштагол,27.7
363,Котельнич,27.6
364,Оха,27.6
365,Прохладный,27.6
366,Горно-Алтайск,27.5
367,Ломоносов,27.5
368,Старый Оскол,27.5
369,Дегтярск,27.4
370,Буй,27.2
371,Райчихинск,27.2
372,Городец,27.0
373,Морозовск,27.0
374,Бежецк,26.9
375,Иланский,26.7
376,Калтан,26.6
377,Нелидово,26.5
378,Североморск,26.5
379,Людиново,26.4
380,Фролово,26.4
381,Арсеньев,26.3
382,Славгород,26.3
383,Белебей,26.2
384,Сердобск,26.1
385,Новозыбков,25.9
386,Североуральск,25.9
387,Вятские Поляны,25.7
388,Советская Гавань,25.7
389,Топки,25.7
390,Кизляр,25.6
391,Моздок,25.6
392,Пласт,25.6
393,Ярцево,25.6
394,Котовск,25.5
395,Луга,25.5
396,Болотное,25.4
397,Дальнереченск,25.4
398,Старая_Русса,25.4
399,Долгопрудный,25.3
400,Каменка,25.2
401,Каспийск,25.2
402,Сестрорецк,25.2
403,Лыткарино,25.1
404,Петровск,25.0
405,Карабаш,24.9
406,Рузаевка,24.9
407,Бирск,24.8
408,Волчанск,24.8
409,Озёры,24.8
410,Омутнинск,24.8
411,Асино,24.7
412,Ликино-Дулёво,24.6
413,Алейск,24.5
414,Кстово,24.4
415,Курганинск,24.3
416,Реутов,24.3
417,Светлоград,24.3
418,Солнечногорск,24.2
419,Ливны,23.9
420,Борзя,23.7
421,Сухой_Лог,23.7
422,Киров,23.6
423,Белая_Калитва,23.5
424,Ужур,23.5
425,Туймазы,23.4
426,Купино,23.2
427,Северо-Задонск,23.2
428,Элиста,23.2
429,Исилькуль,23.1
430,Переславль-Залесский,23.1
431,Похвистнево,23.1
432,Усть-Катав,23.1
433,Южа,23.1
434,Верещагино,22.9
435,Кировград,22.7
436,Колпашево,22.6
437,Нерехта,22.3
438,Шарья,22.3
439,Александровск-Сахалинский,22.2
440,Нязепетровск,22.2
441,Елабуга,22.0
442,Ивдель,22.0
443,Приморско-Ахтарск,22.0
444,Темрюк,22.0
445,Берёзовский,21.9
446,Касли,21.8
447,Кудымкар,21.8
448,Куса,21.8
449,Рошаль,21.8
450,Няндома,21.7
451,Петергоф,21.7
452,Южноуральск,21.7
453,Поронайск,21.6
454,Соль-Илецк,21.6
455,Уяр,21.6
456,Кувандык,21.4
457,Нижняя_Салда,21.4
458,Слюдянка,21.4
459,Гаврилов-Ям,21.3
460,Губкин,21.3
461,Льгов,21.3
462,Онега,21.3
463,Реж,21.3
464,Усть-Кут,21.3
465,Шахунья,21.3
466,Свирск,21.2
467,Черепаново,21.2
468,Скопин,21.0
469,Зарайск,20.7
470,Сасово,20.7
471,Ханты-Мансийск,20.7
472,Катав-Ивановск,20.6
473,Тара,20.6
474,Собинка,20.5
475,Бокситогорск,20.4
476,Сортавала,20.4
477,Агрыз,20.3
478,Кохма,20.3
479,Одинцово,20.3
480,Хадыженск,20.2
481,Ялуторовск,20.2
482,Алексеевка,20.1
483,Заволжье,20.0
484,Карасук,20.0
485,Зуевка,19.9
486,Семёнов,19.8
487,Верхняя_Тура,19.7
488,Невельск,19.7
489,Сегежа,19.7
490,Юрьевец,19.7
491,Сысерть,19.6
492,Тогучин,19.6
493,Шатура,19.6
494,Дедовск,19.5
495,Краснозаводск,19.5
496,Осташков,19.5
497,Беслан,19.4
498,Дятьково,19.4
499,Липки,19.4
500,Сорочинск,19.4
501,Шумиха,19.4
502,Поворино,19.3
503,Нытва,19.2
504,Богданович,19.1
505,Фрязино,19.1
506,Александровск,19.0
507,Калачинск,19.0
508,Краснослободск,19.0
509,Окуловка,19.0
510,Струнино,19.0
511,Тимашёвск,19.0
512,Красноармейск,18.8
513,Нижняя_Тура,18.8
514,Туринск,18.8
515,Чехов,18.8
516,Новоаннинский,18.7
517,Приволжск,18.7
518,Гудермес,18.6
519,Инза,18.6
520,Анапа,18.5
521,Бикин,18.5
522,Кемь,18.4
523,Тихвин,18.4
524,Ершов,18.3
525,Кореновск,18.2
526,Чулым,18.2
527,Валуйки,18.1
528,Карабаново,18.1
529,Киржач,18.1
530,Вяземский,18.0
531,Барыш,17.9
532,Дальнегорск,17.9
533,Киреевск,17.9
534,Малоярославец,17.9
535,Углегорск,17.9
536,Мелеуз,17.8
537,Новая_Ляля,17.8
538,Остров,17.7
539,Шимановск,17.7
540,Котельниково,17.6
541,Подпорожье,17.6
542,Лодейное_Поле,17.5
543,Меленки,17.5
544,Балтийск,17.4
545,Салаир,17.3
546,Юрюзань,17.3
547,Белёв,17.2
548,Тутаев,17.2
549,Давлеканово,17.1
550,Енисейск,17.0
551,Хвалынск,17.0
552,Вельск,16.9
553,Данилов,16.9
554,Калач,16.9
555,Новоалександровск,16.9
556,Пикалёво,16.9
557,Талица,16.9
558,Шилка,16.8
559,Юрьев-Польский,16.8
560,Калач-на-Дону,16.7
561,Лосино-Петровский,16.7
562,Кирсанов,16.6
563,Павловск,16.6
564,Салехард,16.6
565,Щербинка,16.6
566,Геленджик,16.5
567,Унеча,16.5
568,Куровское,16.4
569,Называевск,16.4
570,Дудинка,16.3
571,Мантурово,16.3
572,Новодвинск,16.3
573,Обнинск,16.3
574,Яхрома,16.3
575,Кашин,16.2
576,Лысково,16.2
577,Галич,16.1
578,Кондопога,16.1
579,Малая_Вишера,16.1
580,Сокольники,16.1
581,Набережные_Челны,16.0
582,Семикаракорск,15.9
583,Завитинск,15.8
584,Медвежьегорск,15.8
585,Сосногорск,15.8
586,Сходня,15.8
587,Волгодонск,15.7
588,Гулькевичи,15.7
589,Можайск,15.7
590,Зерноград,15.6
591,Хилок,15.6
592,Добрянка,15.5
593,Заволжск,15.5
594,Красновишерск,15.5
595,Верхний_Тагил,15.4
596,Миньяр,15.4
597,Никольск,15.4
598,Новокубанск,15.4
599,Жердевка,15.3
600,Облучье,15.3
601,Апатиты,15.2
602,Ахтубинск,15.2
603,Сковородино,15.1
604,Сретенск,15.1
605,Тосно,15.1
606,Аксай,15.0
607,Благодарный,14.9
608,Обь,14.9
609,Аркадак,14.8
610,Беломорск,14.8
611,Долинск,14.8
612,Красный_Кут,14.8
613,Ряжск,14.8
614,Алагир,14.7
615,Могоча,14.7
616,Советск,14.7
617,Бодайбо,14.6
618,Невель,14.6
619,Почеп,14.5
620,Апрелевка,14.4
621,Ивангород,14.4
622,Киренск,14.4
623,Тырныауз,14.4
624,Игарка,14.3
625,Мценск,14.3
626,Хотьково,14.3
627,Видное,14.2
628,Гусев,14.2
629,Мураши,14.2
630,Нижние_Серги,14.2
631,Пестово,14.2
632,Сосновка,14.1
633,Суворов,14.1
634,Очёр,14.0
635,Электроугли,14.0
636,Горняк,13.9
637,Змеиногорск,13.9
638,Малгобек,13.9
639,Нижний_Ломов,13.9
640,Приозёрск,13.9
641,Сим,13.9
642,Шебекино,13.9
643,Лесосибирск,13.8
644,Наволоки,13.8
645,Емва,13.7
646,Закаменск,13.7
647,Конаково,13.7
648,Макушино,13.7
649,Кувшиново,13.5
650,Нерчинск,13.5
651,Отрадное,13.5
652,Камбарка,13.4
653,Макаров,13.4
654,Нея,13.4
655,Бирюсинск,13.3
656,Бутурлиновка,13.3
657,Первомайск,13.3
658,Харовск,13.3
659,Володарск,13.2
660,Дно,13.2
661,Калининск,13.2
662,Луза,13.2
663,Нарьян-Мар,13.2
664,Артёмовск,13.1
665,Кондрово,13.1
666,Красноармейск,13.1
667,Маркс,13.1
668,Нарткала,13.1
669,Среднеуральск,13.1
670,Алзамай,13.0
671,Шелехов,13.0
672,Благовещенск,12.9
673,Новый_Оскол,12.9
674,Новоузенск,12.8
675,Чайковский,12.8
676,Данков,12.7
677,Каргат,12.7
678,Нурлат,12.7
679,Оса,12.7
680,Рыльск,12.7
681,Сухиничи,12.7
682,Козьмодемьянск,12.6
683,Петухово,12.6
684,Зеленогорск,12.5
685,Навашино,12.5
686,Ясногорск,12.5
687,Алдан,12.4
688,Майский,12.4
689,Плавск,12.4
690,Куртамыш,12.3
691,Лобня,12.2
692,Козельск,12.1
693,Оленегорск,12.1
694,Павловск,12.1
695,Шахтёрск,12.1
696,Бабаево,12.0
697,Дубна,12.0
698,Ожерелье,11.9
699,Усмань,11.9
700,Абинск,11.8
701,Камешково,11.8
702,Катайск,11.8
703,Усолье,11.8
704,Яранск,11.8
705,Азнакаево,11.7
706,Верхнеуральск,11.7
707,Дубовка,11.7
708,Опочка,11.7
709,Стародуб,11.7
710,Абаза,11.6
711,Гусиноозёрск,11.6
712,Чкаловск,11.6
713,Арамиль,11.5
714,Дрезна,11.5
715,Зеленокумск,11.5
716,Петушки,11.5
717,Семилуки,11.5
718,Электрогорск,11.5
719,Мензелинск,11.4
720,Баймак,11.3
721,Болхов,11.3
722,Вытегра,11.3
723,Горнозаводск,11.3
724,Учалы,11.3
725,Избербаш,11.2
726,Карачев,11.2
727,Красавино,11.2
728,Менделеевск,11.2
729,Волоколамск,11.1
730,Высоковск,11.1
731,Изобильный,11.1
732,Калязин,11.1
733,Кировск,11.1
734,Комсомольск,11.1
735,Сорск,11.1
736,Чернушка,11.1
737,Далматово,11.0
738,Жуковка,11.0
739,Николаевск,11.0
740,Фокино,11.0
741,Чермоз,11.0
742,Боровск,10.9
743,Кирс,10.9
744,Коряжма,10.9
745,Лагань,10.9
746,Уржум,10.9
747,Вихоревка,10.8
748,Ворсма,10.8
749,Лермонтов,10.8
750,Верхотурье,10.7
751,Железноводск,10.7
752,Константиновск,10.7
753,Пролетарск,10.7
754,Сенгилей,10.7
755,Чаплыгин,10.7
756,Чудово,10.7
757,Валдай,10.6
758,Михайловск,10.6
759,Ковылкино,10.5
760,Светогорск,10.5
761,Белая_Холуница,10.4
762,Белозерск,10.4
763,Талдом,10.4
764,Кяхта,10.3
765,Нолинск,10.3
766,Палласовка,10.3
767,Щучье,10.3
768,Обоянь,10.2
769,Рыбное,10.2
770,Тюкалинск,10.2
771,Бронницы,10.1
772,Горнозаводск,10.1
773,Ленинск,10.1
774,Макарьев,10.1
775,Полярный,10.1
776,Советск,10.1
777,Эртиль,10.1
778,Ветлуга,10.0
779,Гагарин,9.9
780,Гороховец,9.9
781,Горячий_Ключ,9.9
782,Жирновск,9.9
783,Лакинск,9.9
784,Томари,9.9
785,Цимлянск,9.9
786,Бородино,9.8
787,Харабали,9.7
788,Заринск,9.6
789,Карачаевск,9.6
790,Сусуман,9.6
791,Трубчевск,9.6
792,Лихославль,9.5
793,Луховицы,9.5
794,Неман,9.5
795,Новосокольники,9.5
796,Пучеж,9.3
797,Суровикино,9.3
798,Щигры,9.3
799,Грязовец,9.2
800,Зеленогорск,9.2
801,Орлов,9.2
802,Чехов,9.2
803,Малмыж,9.1
804,Сольцы,9.1
805,Сурск,9.1
806,Буинск,9.0
807,Западная_Двина,9.0
808,Мамадыш,9.0
809,Суздаль,9.0
810,Новохопёрск,8.9
811,Серафимович,8.9
812,Звенигород,8.8
813,Мариинский_Посад,8.8
814,Устюжна,8.8
815,Заводоуковск,8.7
816,Каргополь,8.7
817,Петров_Вал,8.7
818,Красногорск,8.6
819,Лебедянь,8.6
820,Козловка,8.5
821,Сураж,8.5
822,Андреаполь,8.4
823,Ардатов,8.4
824,Дигора,8.4
825,Дмитриев-Льговский,8.4
826,Кингисепп,8.4
827,Болохово,8.3
828,Кола,8.3
829,Микунь,8.3
830,Бабушкин,8.2
831,Сергач,8.2
832,Задонск,8.1
833,Рудня,8.1
834,Велиж,8.0
835,Оханск,8.0
836,Новая_Ладога,7.9
837,Пошехонье,7.9
838,Тетюши,7.9
839,Тотьма,7.9
840,Лахденпохья,7.8
841,Михайлов,7.7
842,Пионерский,7.7
843,Починок,7.7
844,Северо-Курильск,7.7
845,Бобров,7.6
846,Гвардейск,7.6
847,Любим,7.6
848,Олёкминск,7.6
849,Порхов,7.6
850,Ленск,7.5
851,Чердынь,7.5
852,Себеж,7.3
853,Звенигово,7.2
854,Котово,7.2
855,Спасск-Рязанский,7.2
856,Шлиссельбург,7.2
857,Зея,7.1
858,Любань,7.1
859,Болгар,7.0
860,Дивногорск,7.0
861,Истра,7.0
862,Лукоянов,7.0
863,Пудож,7.0
864,Ардон,6.9
865,Демидов,6.9
866,Ельня,6.9
867,Зеленоградск,6.9
868,Ключи,6.9
869,Красный_Холм,6.9
870,Печоры,6.9
871,Весьегонск,6.8
872,Дагестанские_Огни,6.8
873,Медынь,6.8
874,Покров,6.8
875,Уварово,6.8
876,Гаврилов_Посад,6.7
877,Светлогорск,6.7
878,Светлый,6.7
879,Суоярви,6.7
880,Сычёвка,6.7
881,Терек,6.6
882,Краснослободск,6.5
883,Верея,6.4
884,Никольское,6.4
885,Полесск,6.4
886,Беднодемьяновск,6.3
887,Венёв,6.3
888,Спас-Деменск,6.3
889,Ядрин,6.3
890,Заполярный,6.2
891,Севск,6.2
892,Темников,6.2
893,Белинский,6.1
894,Злынка,6.0
895,Руза,6.0
896,Сургут,6.0
897,Питкяранта,5.9
898,Цивильск,5.9
899,Шацк,5.9
900,Дорогобуж,5.8
901,Инсар,5.8
902,Певек,5.8
903,Солигалич,5.8
904,Мглин,5.7
905,Мирный,5.7
906,Назрань,5.7
907,Анива,5.6
908,Дмитровск-Орловский,5.6
909,Никольск,5.6
910,Мамоново,5.5
911,Ковдор,5.4
912,Таруса,5.4
913,Шенкурск,5.4
914,Городище,5.3
915,Кораблино,5.3
916,Аргун,5.2
917,Жиздра,5.2
918,Кайеркан,5.2
919,Лабытнанги,5.2
920,Троицк,5.2
921,Грайворон,5.1
922,Олонец,5.0
923,Спас-Клепики,5.0
924,Томмот,5.0
925,Мещовск,4.9
926,Старица,4.9
927,Вилюйск,4.8
928,Дюртюли,4.8
929,Чадан,4.7
930,Городовиковск,4.6
931,Кологрив,4.6
932,Саяногорск,4.6
933,Елизово,4.5
934,Зубцов,4.5
935,Приморск,4.5
936,Багратионовск,4.4
937,Теберда,4.4
938,Усть-Джегута,4.4
939,Чухлома,4.3
940,Шагонар,4.2
941,Белый,4.1
942,Мезень,4.1
943,Качканар,4.0
944,Плёс,4.0
945,Суджа,4.0
946,Камызяк,3.9
947,Мосальск,3.9
948,Мышкин,3.9
949,Славск,3.9
950,Туран,3.9
951,Озёрск,3.8
952,Гдов,3.7
953,Баксан,3.6
954,Горбатов,3.6
955,Сольвычегодск,3.6
956,Амурск,3.5
957,Пыталово,3.5
958,Балабаново,3.4
959,Богучар,3.4
960,Пустошка,3.4
961,Духовщина,3.3
962,Фатеж,3.3
963,Кадников,3.2
964,Нестеров,3.2
965,Тында,3.1
966,Каменногорск,3.0
967,Короча,3.0
968,Холм,3.0
969,Нефтекамск,2.9
970,Краснознаменск,2.8
971,Правдинск,2.7
972,Малоархангельск,2.5
973,Новоржев,2.5
974,Гурьевск,2.4
975,Новосиль,2.4
976,Нижневартовск,2.3
977,Ак-Довурак,2.2
978,Анадырь,2.2
979,Кизилюрт,2.2
980,Чекалин,2.2
981,Приморск,2.1
982,Железногорск-Илимский,2.0
983,Гай,1.9
984,Железногорск,1.9
985,Среднеколымск,1.9
986,Новоульяновск,1.8
987,Нефтекумск,1.7
988,Сосновый_Бор,1.7
989,Ладушкин,1.6
990,Курильск,1.5
991,Верхоянск,1.4
992,Высоцк,1.4
993,Байкальск,1.2
994,Пущино,1.1
995,Урай,0.9
996,Стрежевой,0.8
997,Кириши,0.6
998,Нефтеюганск,0.6
999,Нерюнгри,0.5
1 000,Усть-Илимск,0.5
1 001,Ясный,0.5
1 002,Мегион,0.4
1 003,Надым,0.3
1 004,Вуктыл,0.1
