Номер кредитного договора	Филиала	Сумма кредита	Дата выдачи	Дата возврата	Льготы	Срок кредита (в мес)	Процентая ставка	Аннуитентный платеж	Плата по %%
50	Аэропорт	422000	06.мар.12	06.апр.15	0	37	20,0%	15373,10	146804,58
51	Аэропорт	185000	07.мар.12	07.июл.14	0	28	17,0%	8050,05	40401,51
52	Арбатский	441000	07.мар.12	07.дек.16	0	57	15,0%	10863,94	178244,41
53	Аэропорт	343000	07.мар.12	07.фев.15	0	35	17,0%	12497,41	94409,19
54	Аэропорт	205000	07.мар.12	07.сен.13	0	18	12,0%	12501,32	20023,76
55	Аэропорт	262000	07.мар.12	07.июн.14	0	27	17,0%	11745,31	55123,32
56	Аэропорт	412000	07.мар.12	07.мар.14	0	24	12,0%	19394,27	53462,49
57	Аэропорт	82000	07.мар.12	07.дек.12	1	9	7,0%	9378,91	2410,21
58	Аэропорт	224000	07.мар.12	07.май.14	1	26	14,0%	10037,79	36982,49
59	Аэропорт	406000	07.мар.12	07.фев.13	0	11	10,0%	38780,07	20580,74
60	Арбатский	420000	07.мар.12	07.фев.17	0	59	15,0%	10105,87	176246,04
61	Аэропорт	373000	07.мар.12	07.янв.16	0	46	20,0%	11674,57	164030,39
62	Аэропорт	102000	07.мар.12	07.май.13	0	14	12,0%	7843,92	7814,87
63	Аэропорт	109000	08.мар.12	08.апр.13	0	13	12,0%	8983,22	7781,80
64	Киевский	355000	08.мар.12	08.июл.12	0	4	10,0%	90606,63	7426,52
65	Аэропорт	223000	08.мар.12	08.май.14	0	26	17,0%	10313,19	45142,98
66	Семеновский	339000	08.мар.12	08.сен.16	0	54	15,0%	8670,81	129223,57
67	Киевский	60000	08.мар.12	08.ноя.12	0	8	10,0%	7783,97	2271,78
68	Аэропорт	217000	08.мар.12	08.мар.13	0	12	10,0%	19077,75	11932,97
69	Аэропорт	475000	08.мар.12	08.июл.14	0	28	17,0%	20669,06	103733,61
70	Аэропорт	461000	08.мар.12	08.май.14	0	26	17,0%	21320,10	93322,49
71	Семеновский	237000	08.мар.12	08.ноя.16	0	56	15,0%	5910,16	93969,01
72	Аэропорт	279000	09.мар.12	09.мар.13	0	12	10,0%	24528,53	15342,39
73	Аэропорт	82000	09.мар.12	09.сен.13	0	18	12,0%	5000,53	8009,50
74	Аэропорт	272000	09.мар.12	09.июл.16	0	52	15,0%	7145,16	99548,25
75	Аэропорт	397000	09.мар.12	09.июл.15	0	40	20,0%	13677,75	150109,92
76	Аэропорт	287000	09.мар.12	09.янв.16	0	46	20,0%	8982,85	126211,05
77	Аэропорт	51000	09.мар.12	09.мар.13	1	12	7,0%	4412,86	1954,37
78	Аэропорт	368000	09.мар.12	09.фев.14	0	23	12,0%	17989,99	45769,75
79	Аэропорт	405000	09.мар.12	09.май.15	0	38	20,0%	14472,48	144954,17
80	Аэропорт	355000	09.мар.12	09.май.13	0	14	12,0%	27299,92	27198,82
81	Киевский	395000	09.мар.12	09.окт.12	0	7	10,0%	58325,13	13275,93
82	Аэропорт	362000	10.мар.12	10.янв.14	0	22	12,0%	18412,67	43078,65
83	Киевский	269000	10.мар.12	10.окт.12	1	7	7,0%	39330,45	6313,17
84	Аэропорт	353000	10.мар.12	10.мар.14	0	24	12,0%	16616,94	45806,46
85	Аэропорт	163000	10.мар.12	10.дек.12	0	9	10,0%	18874,09	6866,81
86	Аэропорт	254000	10.мар.12	10.май.13	1	14	9,0%	19179,91	14518,76
87	Аэропорт	309000	10.мар.12	10.июн.15	0	39	20,0%	10838,68	113708,62
88	Аэропорт	451000	10.мар.12	10.фев.14	0	23	12,0%	22047,51	56092,82
89	Аэропорт	467000	11.мар.12	11.мар.15	1	36	14,0%	15960,95	107594,31
90	Аэропорт	185000	11.мар.12	11.авг.13	0	17	12,0%	11887,74	17091,58
91	Аэропорт	369000	11.мар.12	11.июн.16	0	51	15,0%	9828,58	132257,46
92	Семеновский	396000	11.мар.12	11.авг.16	0	53	15,0%	10262,94	147936,07
93	Аэропорт	132000	11.мар.12	11.июн.13	0	15	12,0%	9520,34	10805,08
94	Аэропорт	362000	11.мар.12	11.апр.15	0	37	20,0%	13187,35	125931,89
95	Аэропорт	400000	11.мар.12	11.ноя.14	0	32	17,0%	15633,52	100272,79
96	Аэропорт	455000	11.мар.12	11.мар.16	0	48	20,0%	13845,81	209599,11
97	Аэропорт	59000	11.мар.12	11.дек.12	0	9	10,0%	6831,73	2485,53
98	Аэропорт	381000	11.мар.12	11.авг.14	0	29	17,0%	16112,51	86262,76
99	Семеновский	292000	11.мар.12	11.сен.16	1	54	13,0%	7170,84	95225,16
100	Аэропорт	324000	12.мар.12	12.мар.16	0	48	20,0%	9859,44	149253,00
101	Киевский	185000	12.мар.12	12.ноя.12	0	8	10,0%	24000,58	7004,66
102	Аэропорт	429000	12.мар.12	12.мар.13	1	12	7,0%	37119,97	16439,69
103	Аэропорт	206000	12.мар.12	12.ноя.15	0	44	20,0%	6643,67	86321,32
104	Аэропорт	442000	12.мар.12	12.мар.13	0	12	10,0%	38858,82	24305,87
105	Аэропорт	223000	12.мар.12	12.мар.16	0	48	20,0%	6785,97	102726,60
106	Аэропорт	482000	12.мар.12	12.дек.12	0	9	10,0%	55811,73	20305,54
107	Аэропорт	312000	12.мар.12	12.сен.15	0	42	20,0%	10388,75	124327,49
108	Аэропорт	120000	12.мар.12	12.авг.13	1	17	9,0%	7544,79	8261,35
109	Аэропорт	173000	12.мар.12	12.мар.14	0	24	12,0%	8143,71	22449,06
110	Аэропорт	199000	13.мар.12	13.дек.12	0	9	10,0%	23042,60	8383,41
111	Аэропорт	267000	13.мар.12	13.авг.15	1	41	18,0%	8765,89	92401,62
112	Аэропорт	305000	13.мар.12	13.дек.12	0	9	10,0%	35316,55	12848,94
113	Аэропорт	204000	13.мар.12	13.авг.13	1	17	9,0%	12826,14	14044,30
114	Аэропорт	450000	13.мар.12	13.июл.15	0	40	20,0%	15503,74	170149,78
115	Семеновский	360000	13.мар.12	13.окт.16	1	55	13,0%	8722,33	119728,25
116	Аэропорт	254000	14.мар.12	14.дек.15	0	45	20,0%	8068,03	109061,49
117	Аэропорт	133000	14.мар.12	14.май.13	0	14	12,0%	10227,86	10189,98
118	Аэропорт	245000	14.мар.12	14.май.15	1	38	18,0%	8505,45	78207,20
119	Арбатский	312000	14.мар.12	14.дек.17	0	70	15,0%	7340,61	135776,99
120	Аэропорт	338000	14.мар.12	14.апр.16	0	49	15,0%	9266,48	116057,75
121	Аэропорт	483000	14.мар.12	14.дек.15	0	45	20,0%	15341,97	207388,57
122	Аэропорт	212000	14.мар.12	14.мар.14	0	24	12,0%	9979,58	27509,83
123	Киевский	278000	15.мар.12	15.сен.12	0	6	10,0%	47694,07	8164,41
124	Аэропорт	403000	15.мар.12	15.авг.15	0	41	20,0%	13645,74	156475,29
125	Аэропорт	198000	15.мар.12	15.дек.14	0	33	17,0%	7553,02	51249,79
126	Аэропорт	256000	15.мар.12	15.мар.14	0	24	12,0%	12050,81	33219,41
127	Аэропорт	480000	15.мар.12	15.мар.16	0	48	20,0%	14606,57	221115,55
128	Аэропорт	485000	15.мар.12	15.май.16	0	50	15,0%	13103,55	170177,41
129	Аэропорт	64000	15.мар.12	15.янв.13	0	10	10,0%	6696,98	2969,84
130	Арбатский	279000	15.мар.12	15.фев.17	0	59	15,0%	6713,18	117077,73
131	Аэропорт	244000	15.мар.12	15.апр.13	0	13	12,0%	20109,22	17419,81
132	Аэропорт	211000	15.мар.12	15.апр.13	0	13	12,0%	17389,53	15063,85
133	Аэропорт	223000	16.мар.12	16.окт.14	0	31	17,0%	8938,41	54090,70
134	Аэропорт	176000	16.мар.12	16.дек.14	0	33	17,0%	6713,80	45555,37
135	Аэропорт	115000	16.мар.12	16.июн.14	0	27	17,0%	5155,38	24195,35
136	Аэропорт	425000	16.мар.12	16.янв.14	0	22	12,0%	21617,08	50575,77
137	Аэропорт	200000	16.мар.12	16.ноя.14	1	32	14,0%	7525,06	40801,98
138	Аэропорт	311000	16.мар.12	16.ноя.15	0	44	20,0%	10030,00	130320,05
139	Аэропорт	486000	16.мар.12	16.ноя.13	0	20	12,0%	26931,84	52636,86
140	Семеновский	71000	16.мар.12	16.ноя.16	1	56	13,0%	1697,74	24073,41
141	Аэропорт	346000	16.мар.12	16.ноя.14	0	32	17,0%	13523,00	86735,97
142	Аэропорт	242000	16.мар.12	16.фев.15	0	35	17,0%	8817,41	66609,40
143	Аэропорт	261000	16.мар.12	16.окт.15	1	43	18,0%	8280,13	95045,73
144	Аэропорт	340000	16.мар.12	16.фев.16	0	47	20,0%	10490,71	153063,57
145	Аэропорт	144000	16.мар.12	16.окт.13	0	19	12,0%	8359,45	14829,60
146	Аэропорт	280000	16.мар.12	16.июл.15	0	40	20,0%	9646,77	105870,98
147	Аэропорт	107000	16.мар.12	16.июн.15	0	39	20,0%	3753,20	39374,83
148	Аэропорт	481000	16.мар.12	16.мар.14	1	24	9,0%	21974,36	46384,66
149	Аэропорт	347000	16.мар.12	16.янв.13	0	10	10,0%	36310,21	16102,12
150	Семеновский	106000	16.мар.12	16.авг.16	0	53	15,0%	2747,15	39599,05
151	Аэропорт	422000	17.мар.12	17.сен.13	1	18	9,0%	25150,21	30703,86
152	Киевский	123000	17.мар.12	17.июн.12	1	3	7,0%	41479,26	1437,78
153	Аэропорт	88000	17.мар.12	17.апр.13	0	13	12,0%	7252,50	6282,55
154	Аэропорт	328000	17.мар.12	17.мар.16	0	48	20,0%	9981,16	151095,62
155	Аэропорт	431000	17.мар.12	17.фев.13	0	11	10,0%	41168,00	21848,02
156	Аэропорт	237000	17.мар.12	17.дек.12	0	9	10,0%	27442,70	9984,26
157	Аэропорт	496000	17.мар.12	17.май.14	0	26	17,0%	22938,76	100407,71
158	Аэропорт	351000	17.мар.12	17.дек.12	1	9	7,0%	40146,32	10316,89
159	Аэропорт	106000	17.мар.12	17.ноя.13	0	20	12,0%	5874,02	11480,47
160	Аэропорт	239000	17.мар.12	17.май.14	0	26	17,0%	11053,15	48381,94
161	Аэропорт	449000	17.мар.12	17.мар.16	0	48	20,0%	13663,23	206835,17
162	Семеновский	391000	17.мар.12	17.ноя.16	0	56	15,0%	9750,52	155029,04
163	Аэропорт	197000	17.мар.12	17.ноя.14	1	32	14,0%	7412,19	40189,95
164	Аэропорт	215000	18.мар.12	18.апр.14	0	25	17,0%	10272,77	41819,27
165	Аэропорт	396000	18.мар.12	18.ноя.14	0	32	17,0%	15477,19	99270,07
166	Аэропорт	249000	18.мар.12	18.май.14	0	26	17,0%	11515,63	50406,29
167	Аэропорт	455000	18.мар.12	18.авг.15	0	41	20,0%	15406,48	176665,65
168	Аэропорт	169000	18.мар.12	18.авг.13	0	17	12,0%	10859,61	15613,39
169	Аэропорт	438000	18.мар.12	18.ноя.14	0	32	17,0%	17118,71	109798,71
170	Аэропорт	389000	18.мар.12	18.янв.13	0	10	10,0%	40705,11	18051,08
171	Киевский	116000	18.мар.12	18.окт.12	0	7	10,0%	17128,39	3898,75
172	Аэропорт	174000	18.мар.12	18.фев.15	0	35	17,0%	6339,79	47892,71
173	Аэропорт	215000	18.мар.12	18.июл.14	0	28	17,0%	9355,47	46953,11
174	Аэропорт	395000	18.мар.12	18.апр.16	0	49	15,0%	10829,18	135629,62
175	Аэропорт	113000	19.мар.12	19.ноя.14	0	32	17,0%	4416,47	28327,06
176	Аэропорт	297000	19.мар.12	19.ноя.15	0	44	20,0%	9578,49	124453,56
177	Аэропорт	207000	19.мар.12	19.мар.14	0	24	12,0%	9744,21	26861,01
178	Аэропорт	58000	19.мар.12	19.апр.13	0	13	12,0%	4780,06	4140,77
179	Аэропорт	106000	19.мар.12	19.фев.14	0	23	12,0%	5181,90	13183,68
180	Аэропорт	117000	19.мар.12	19.ноя.13	0	20	12,0%	6483,59	12671,84
181	Киевский	467000	19.мар.12	19.сен.12	0	6	10,0%	80119,17	13715,03
182	Аэропорт	121000	19.мар.12	19.июн.13	1	15	9,0%	8559,10	7386,55
183	Аэропорт	299000	19.мар.12	19.авг.15	0	41	20,0%	10124,26	116094,57
184	Аэропорт	287000	19.мар.12	19.фев.16	0	47	20,0%	8855,40	129203,66
185	Арбатский	447000	19.мар.12	19.июн.17	0	63	15,0%	10293,98	201520,86
186	Аэропорт	277000	19.мар.12	19.янв.15	0	34	17,0%	10322,53	73965,97
187	Аэропорт	66000	19.мар.12	19.дек.14	0	33	17,0%	2517,67	17083,26
188	Аэропорт	127000	20.мар.12	20.янв.15	0	34	17,0%	4732,71	33912,20
189	Киевский	490000	20.мар.12	20.ноя.12	0	8	10,0%	63569,11	18552,89
190	Аэропорт	234000	20.мар.12	20.дек.12	0	9	10,0%	27095,32	9857,87
191	Аэропорт	202000	21.мар.12	21.апр.15	0	37	20,0%	7358,69	70271,39
192	Аэропорт	126000	21.мар.12	21.июл.13	0	16	12,0%	8561,02	10976,31
193	Аэропорт	222000	21.мар.12	21.янв.15	0	34	17,0%	8272,93	59279,59
194	Аэропорт	282000	21.мар.12	21.окт.13	0	19	12,0%	16370,59	29041,30
195	Аэропорт	268000	21.мар.12	21.ноя.14	0	32	17,0%	10474,46	67182,77
196	Киевский	202000	21.мар.12	21.авг.12	0	5	10,0%	41415,59	5077,94
197	Аэропорт	246000	22.мар.12	22.июл.14	0	28	17,0%	10704,40	53723,09
198	Аэропорт	105000	22.мар.12	22.сен.14	0	30	17,0%	4320,64	24619,25
199	Арбатский	233000	22.мар.12	22.апр.17	0	61	15,0%	5481,93	101397,56
200	Аэропорт	107000	22.мар.12	22.июн.13	1	15	9,0%	7568,79	6531,91
201	Аэропорт	335000	22.мар.12	22.июл.15	1	40	18,0%	11198,08	112923,16
202	Арбатский	432000	22.мар.12	22.дек.17	0	70	15,0%	9381,00	215288,73
203	Аэропорт	120000	22.мар.12	22.окт.13	0	19	12,0%	6966,21	12358,00
204	Аэропорт	493000	22.мар.12	22.июл.14	1	28	14,0%	20740,88	87744,64
205	Аэропорт	230000	22.мар.12	22.ноя.14	0	32	17,0%	8989,28	57656,86
206	Аэропорт	255000	22.мар.12	22.дек.13	0	21	12,0%	13522,84	28979,68
207	Аэропорт	325000	23.мар.12	23.мар.15	0	36	17,0%	11587,14	92136,91
208	Аэропорт	229000	23.мар.12	23.июн.13	1	15	9,0%	16198,63	13979,50
209	Аэропорт	122000	23.мар.12	23.окт.14	0	31	17,0%	4890,07	29592,22
210	Аэропорт	397000	23.мар.12	23.мар.13	0	12	10,0%	34902,61	21831,29
211	Аэропорт	82000	23.мар.12	23.янв.13	0	10	10,0%	8580,51	3805,11
212	Аэропорт	390000	23.мар.12	23.дек.15	0	45	20,0%	12387,92	167456,61
213	Аэропорт	282000	23.мар.12	23.окт.14	0	31	17,0%	11303,28	68401,70
214	Аэропорт	101000	23.мар.12	23.дек.12	0	9	10,0%	11694,99	4254,89
215	Аэропорт	390000	24.мар.12	24.мар.13	0	12	10,0%	34287,20	21446,35
216	Киевский	188000	24.мар.12	24.ноя.12	0	8	10,0%	24389,78	7118,25
217	Аэропорт	115000	24.мар.12	24.сен.13	1	18	9,0%	6853,73	8367,17
218	Аэропорт	183000	24.мар.12	24.апр.13	0	13	12,0%	15081,91	13064,86
219	Аэропорт	441000	24.мар.12	24.авг.13	0	17	12,0%	28337,80	40742,64
220	Аэропорт	497000	24.мар.12	24.дек.12	0	9	10,0%	57548,61	20937,45
221	Аэропорт	295000	24.мар.12	24.май.15	0	38	20,0%	10541,68	105583,90
222	Аэропорт	341000	25.мар.12	25.окт.14	1	31	14,0%	13172,16	67337,01
223	Аэропорт	76000	25.мар.12	25.июл.13	0	16	12,0%	5163,79	6620,63
224	Аэропорт	466000	25.мар.12	25.июл.16	1	52	13,0%	11768,65	145969,91
225	Аэропорт	136000	25.мар.12	25.май.14	0	26	17,0%	6289,66	27531,15
226	Аэропорт	227000	25.мар.12	25.сен.15	0	42	20,0%	7558,48	90456,22
227	Киевский	96000	25.мар.12	25.июн.12	0	3	10,0%	32534,81	1604,43
228	Аэропорт	187000	25.мар.12	25.окт.14	0	31	17,0%	7495,44	45358,57
229	Семеновский	473000	25.мар.12	25.ноя.16	0	56	15,0%	11795,38	187541,52
230	Аэропорт	457000	25.мар.12	25.сен.13	0	18	12,0%	27868,80	44638,33
231	Аэропорт	334000	25.мар.12	25.июн.16	1	51	13,0%	8558,47	102481,80
232	Аэропорт	273000	25.мар.12	25.июл.15	0	40	20,0%	9405,61	103224,20
233	Аэропорт	278000	26.мар.12	26.фев.15	1	35	14,0%	9720,19	62206,72
234	Аэропорт	110000	26.мар.12	26.дек.12	0	9	10,0%	12737,12	4634,04
235	Аэропорт	332000	26.мар.12	26.окт.13	0	19	12,0%	19273,18	34190,46
236	Аэропорт	89000	26.мар.12	26.сен.13	0	18	12,0%	5427,40	8693,24
237	Аэропорт	275000	26.мар.12	26.мар.15	0	36	17,0%	9804,50	77962,00
238	Аэропорт	486000	26.мар.12	26.авг.15	1	41	18,0%	15955,90	168191,72
239	Киевский	188000	26.мар.12	26.май.12	0	2	10,0%	95176,63	2353,25
240	Аэропорт	500000	26.мар.12	26.июн.13	0	15	12,0%	36061,89	40928,35
241	Аэропорт	432000	26.мар.12	26.фев.16	0	47	20,0%	13329,38	194480,77
242	Аэропорт	431000	26.мар.12	26.янв.16	0	46	20,0%	13489,92	189536,46
243	Аэропорт	362000	27.мар.12	27.май.13	0	14	12,0%	27838,22	27735,14
244	Арбатский	415000	27.мар.12	27.июн.17	1	63	13,0%	9123,23	159763,41
245	Аэропорт	385000	27.мар.12	27.июл.16	0	52	15,0%	10113,55	140904,69
246	Киевский	393000	27.мар.12	27.апр.12	0	1	10,0%	396275,00	3275,00
247	Аэропорт	97000	27.мар.12	27.апр.13	0	13	12,0%	7994,24	6925,09
248	Аэропорт	134000	27.мар.12	27.мар.13	0	12	10,0%	11780,73	7368,75
249	Аэропорт	280000	27.мар.12	27.окт.15	0	43	20,0%	9173,18	114446,84
250	Аэропорт	296000	27.мар.12	27.апр.14	0	25	17,0%	14142,98	57574,43
251	Аэропорт	278000	27.мар.12	27.янв.16	0	46	20,0%	8701,16	122253,22
252	Аэропорт	197000	27.мар.12	27.янв.13	0	10	10,0%	20614,16	9141,55
253	Семеновский	371000	27.мар.12	27.авг.16	0	53	15,0%	9615,03	138596,67
254	Аэропорт	221000	27.мар.12	27.апр.14	0	25	17,0%	10559,45	42986,32
255	Аэропорт	491000	27.мар.12	27.окт.14	0	31	17,0%	19680,53	119096,57
256	Аэропорт	384000	27.мар.12	27.июн.13	0	15	12,0%	27695,53	31432,97
257	Аэропорт	272000	28.мар.12	28.июн.14	0	27	17,0%	12193,60	57227,26
258	Аэропорт	136000	28.мар.12	28.авг.13	0	17	12,0%	8739,10	12564,62
259	Арбатский	412000	28.мар.12	28.янв.17	0	58	15,0%	10029,33	169700,99
260	Аэропорт	119000	28.мар.12	28.авг.13	1	17	9,0%	7481,91	8192,51
261	Киевский	447000	28.мар.12	28.ноя.12	0	8	10,0%	57990,60	16924,78
262	Аэропорт	59000	28.мар.12	28.дек.12	0	9	10,0%	6831,73	2485,53
263	Аэропорт	412000	28.мар.12	28.июл.14	0	28	17,0%	17927,69	89975,26
264	Аэропорт	249000	28.мар.12	28.июн.14	1	27	14,0%	10804,11	42710,85
265	Киевский	104000	28.мар.12	28.сен.12	0	6	10,0%	17842,38	3054,31
266	Аэропорт	298000	28.мар.12	28.май.14	0	26	17,0%	13781,75	60325,60
267	Семеновский	437000	28.мар.12	28.авг.16	1	53	13,0%	10881,03	139694,67
268	Аэропорт	167000	28.мар.12	28.май.13	0	14	12,0%	12842,50	12794,94
269	Аэропорт	411000	28.мар.12	28.сен.13	1	18	9,0%	24494,64	29903,52
270	Аэропорт	492000	28.мар.12	28.май.16	0	50	15,0%	13292,67	172633,58
271	Киевский	405000	29.мар.12	29.авг.12	1	5	7,0%	82423,00	7114,98
272	Аэропорт	181000	29.мар.12	29.ноя.14	0	32	17,0%	7074,17	45373,44
273	Арбатский	260000	29.мар.12	01.мар.17	0	59	15,0%	6256,01	109104,69
274	Аэропорт	436000	29.мар.12	29.мар.13	0	12	10,0%	38331,33	23975,92
275	Арбатский	276000	29.мар.12	29.июл.17	0	64	15,0%	6290,60	126598,36
276	Аэропорт	439000	29.мар.12	29.дек.12	0	9	10,0%	50832,67	18494,05
277	Аэропорт	251000	29.мар.12	29.июл.14	1	28	14,0%	10559,76	44673,23
278	Аэропорт	314000	29.мар.12	29.ноя.13	0	20	12,0%	17400,41	34008,18
279	Аэропорт	112000	30.мар.12	30.июл.14	0	28	17,0%	4873,55	24459,29
280	Аэропорт	262000	30.мар.12	30.янв.15	0	34	17,0%	9763,55	69960,59
281	Аэропорт	391000	30.мар.12	30.янв.14	0	22	12,0%	19887,71	46529,71
282	Аэропорт	357000	30.мар.12	30.авг.15	0	41	20,0%	12088,16	138614,59
283	Аэропорт	186000	30.мар.12	30.дек.12	0	9	10,0%	21537,31	7835,75
284	Аэропорт	196000	30.мар.12	30.июн.13	0	15	12,0%	14136,26	16043,91
285	Аэропорт	477000	31.мар.12	01.май.16	0	49	15,0%	13077,26	163785,64
286	Аэропорт	260000	31.мар.12	31.окт.13	0	19	12,0%	15093,46	26775,66
287	Аэропорт	279000	31.мар.12	01.май.15	0	37	20,0%	10163,73	97058,00
288	Аэропорт	300000	31.мар.12	31.май.15	0	38	20,0%	10720,35	107373,46
289	Аэропорт	372000	31.мар.12	01.дек.14	0	32	17,0%	14539,18	93253,70
290	Аэропорт	218000	31.мар.12	01.июл.15	1	39	18,0%	7423,91	71532,46
291	Аэропорт	233000	31.мар.12	31.дек.15	0	45	20,0%	7400,99	100044,59
292	Киевский	228000	31.мар.12	31.авг.12	0	5	10,0%	46746,31	5731,53
293	Аэропорт	241000	31.мар.12	01.дек.13	0	20	12,0%	13355,09	26101,82
294	Аэропорт	88000	31.мар.12	31.мар.14	0	24	12,0%	4142,47	11419,17
295	Аэропорт	445000	31.мар.12	31.май.14	0	26	17,0%	20580,14	90083,53
296	Киевский	55000	01.апр.12	01.дек.12	0	8	10,0%	7135,31	2082,47
297	Аэропорт	259000	01.апр.12	01.май.13	1	13	9,0%	20984,67	13800,67
298	Арбатский	464000	01.апр.12	01.апр.17	0	60	15,0%	11038,53	198311,65
299	Арбатский	498000	01.апр.12	01.фев.17	0	58	15,0%	12122,83	205124,01
300	Киевский	60000	01.апр.12	01.ноя.12	1	7	7,0%	8772,59	1408,14
301	Аэропорт	261000	01.апр.12	01.май.14	0	25	17,0%	12470,67	50766,64
302	Аэропорт	190000	01.апр.12	01.июн.13	0	14	12,0%	14611,22	14557,12
303	Семеновский	441000	02.апр.12	02.дек.16	0	56	15,0%	10997,39	174853,73
304	Аэропорт	465000	02.апр.12	02.май.16	1	49	13,0%	12280,47	136743,26
305	Аэропорт	130000	02.апр.12	02.июл.15	0	39	20,0%	4559,96	47838,58
306	Аэропорт	303000	02.апр.12	02.мар.13	0	11	10,0%	28941,77	15359,52
307	Аэропорт	212000	02.апр.12	02.май.15	0	37	20,0%	7722,98	73750,17
308	Киевский	242000	02.апр.12	02.дек.12	1	8	7,0%	31049,45	6395,61
309	Аэропорт	229000	02.апр.12	02.июн.16	0	50	15,0%	6187,04	80351,81
