Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Квартира	Площадь квартиры	Способ приобретения собств.	Расположение	Машина	Срок эксплуатации машины	Загородный дом	Земельный участок	Прописка в данном районе	Гараж	Класс предприятия	Время работы предприятия	Отрасль предприятия	Специализация	Должность	Срок работы на предприятии	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов	Количество иждевенцев	Гражданское состояние	Занятость супруга	Срок проживания в регионе	Давать кредит	Давать кредит(число)
23500	4700	12	02.01.03	Иное	1	22	Муж	специальное	Да	Нет	31	другое	центр	отечественная	14	Нет	Да	Да	Нет	крупное	2	Правоохранительные органы	Вспомогательный технический персонал	руководящая	3	9	5000	1000	Одежда, продукты питания и т.п.	0	Нет	Нет	18	Да	1
16500	3300	12	02.01.03	Покупка товара	1	23	Муж	специальное	Нет	Да	24	другое	центр	отечественная	2	Нет	Нет	Да	Да	среднее	9	Увесилительный, игровой и шой-бизнес	Участие в основной деятельности	руководящая	4	2	5500	1000	Турпоездки, развлечения и т.п.	1	Да	Да	17	Да	1
46500	9300	36	02.01.03	Покупка товара	1	19	Жен	специальное	Да	Да	35	другое	центр	отечественная	7	Да	Нет	Да	Да	малое	11	Сборочные производства	Участие в основной деятельности	неруководящая	4	9	4500	1000	Одежда, продукты питания и т.п.	0	Да	Да	9	Нет	0
58000	11600	48	02.01.03	Покупка и ремонт недвижимости	1	37	Муж	высшее	Нет	Нет	20	другое	область	отечественная	1	Да	Да	Да	Да	среднее	3	Юридические и нотариальные услуги	Участие в основной деятельности	неруководящая	1	4	4500	1000	Помощь родственникам	2	Да	Да	14	Нет	0
58500	11700	42	02.01.03	Покупка товара	1	23	Жен	высшее	Нет	Да	46	другое	центр	отечественная	2	Нет	Нет	Да	Да	крупное	2	Легкая и пищевая промышленность	Участие в основной деятельности	руководящая	3	3	5000	1500	Оплата услуг (мед., юрид. и т.п.)	1	Да	Да	17	Нет	0
20500	4100	12	02.01.03	Покупка товара	1	60	Жен	среднее	Да	Да	70	покупка	центр	отечественная	3	Нет	Нет	Да	Да	малое	27	Торговля оптовая, поср. деательность	Участие в основной деятельности	неруководящая	5	3	5000	1000	Содержание/аренда недвижимости, а/т	3	Да	Нет	21	Да	1
3500	700	6	02.01.03	Покупка и ремонт недвижимости	1	56	Муж	среднее	Да	Нет	47	покупка	центр	импортная	5	Нет	Нет	Да	Нет	малое	3	Информатика и телекоммуникации	Служба безопасности	руководящая	3	4	4000	1000	Оплата услуг (мед., юрид. и т.п.)	3	Нет	Нет	23	Нет	0
27500	5500	12	03.01.03	Покупка и ремонт недвижимости	1	23	Жен	специальное	Да	Нет	46	другое	область	импортная	4	Да	Да	Нет	Нет	среднее	5	Образование (гос.)	Реклама и маркетинг	неруководящая	4	2	5500	1500	Покупка и ремонт недвижимости	1	Да	Да	14	Нет	0
14000	2800	12	03.01.03	Покупка товара	1	46	Жен	высшее	Да	Нет	21	другое	центр	отечественная	2	Нет	Да	Да	Да	среднее	12	Образование (комерч.)	Участие в основной деятельности	неруководящая	2	5	4500	1000	Турпоездки, развлечения и т.п.	3	Да	Нет	22	Нет	0
13000	2600	12	03.01.03	Покупка и ремонт недвижимости	1	21	Муж	высшее	Да	Нет	41	нет жилья в собственности	центр	отечественная	3	Нет	Нет	Да	Да	малое	4	Наука и культура	Вспомогательный технический персонал	руководящая	4	12	4500	1000	Покупка и ремонт недвижимости	0	Да	Да	5	Нет	0
18500	3700	6	03.01.03	Иное	1	53	Муж	специальное	Да	Да	17	покупка	область	импортная	5	Нет	Нет	Да	Да	малое	30	Торговля розничная	Служба безопасности	неруководящая	3	4	7500	2500	Покупка товаров длит. пользования	3	Нет	Нет	35	Да	1
55000	11000	30	03.01.03	Покупка и ремонт недвижимости	1	33	Муж	высшее	Да	Да	30	покупка	область	импортная	9	Нет	Нет	Нет	Нет	малое	24	Ощественное питание	Снабжение и сбыт	неруководящая	2	6	5000	1500	Турпоездки, развлечения и т.п.	2	Да	Нет	12	Нет	0
27000	5400	18	03.01.03	Иное	1	52	Жен	высшее	Да	Да	42	другое	центр	отечественная	6	Нет	Нет	Нет	Да	малое	16	Сельское хозяйство	Бухгалтерия, финансы и планирование	руководящая	2	6	5000	1500	Покупка и ремонт недвижимости	2	Нет	Нет	24	Нет	0
17500	3500	6	03.01.03	Покупка товара	1	20	Жен	высшее	Да	Нет	29	другое	центр	импортная	6	Нет	Нет	Да	Нет	крупное	34	Образование (гос.)	Участие в основной деятельности	руководящая	4	9	7000	2000	Затраты на образование (в т.ч. детей)	1	Нет	Нет	7	Да	1
11500	2300	6	03.01.03	Покупка товара	1	23	Жен	специальное	Да	Да	42	другое	центр	импортная	9	Да	Нет	Да	Да	среднее	17	Образование (комерч.)	Вспомогательный технический персонал	неруководящая	5	10	5500	1500	Затраты на образование (в т.ч. детей)	1	Да	Да	9	Да	1
17000	3400	12	03.01.03	Покупка товара	1	22	Муж	среднее	Да	Да	12	покупка	область	Нет автомобиля	6	Нет	Да	Да	Да	малое	5	Туризм	Участие в основной деятельности	руководящая	2	17	5000	1000	Одежда, продукты питания и т.п.	1	Да	Да	3	Да	1
8000	1600	6	03.01.03	Покупка товара	1	44	Муж	высшее	Да	Да	41	другое	область	Нет автомобиля	5	Нет	Да	Да	Да	среднее	12	Коммунальное хо-во / Сфера услуг	Реклама и маркетинг	неруководящая	3	5	4500	1000	Затраты на образование (в т.ч. детей)	3	Да	Да	21	Да	1
10500	2100	6	03.01.03	Покупка товара	1	32	Жен	специальное	Да	Да	28	покупка	центр	импортная	10	Да	Нет	Да	Нет	малое	9	Наука и культура	Реклама и маркетинг	неруководящая	3	3	5000	1000	Покупка товаров длит. пользования	1	Нет	Нет	13	Да	1
3500	700	6	03.01.03	Покупка товара	1	34	Жен	высшее	Да	Да	23	другое	центр	Нет автомобиля	3	Нет	Нет	Да	Нет	крупное	12	Финансы, банковское дело	Служба безопасности	неруководящая	3	6	4000	500	Мобильная связь, Интернет	3	Да	Да	16	Да	1
19500	3900	12	03.01.03	Иное	1	25	Жен	высшее	Да	Да	27	другое	область	отечественная	4	Нет	Нет	Да	Нет	малое	8	Транспорт и связь	Служба безопасности	неруководящая	4	16	5000	1000	Покупка товаров длит. пользования	0	Да	Да	10	Да	1
20000	4000	18	04.01.03	Покупка товара	1	41	Муж	специальное	Да	Да	29	другое	центр	отечественная	1	Да	Нет	Да	Нет	малое	7	Туризм	Участие в основной деятельности	неруководящая	3	7	4500	1000	Одежда, продукты питания и т.п.	3	Нет	Нет	24	Нет	0
34500	6900	18	04.01.03	Иное	1	43	Муж	среднее	Нет	Да	35	другое	центр	отечественная	7	Нет	Да	Нет	Нет	среднее	16	Ощественное питание	Участие в основной деятельности	неруководящая	3	2	5000	1500	Покупка товаров длит. пользования	3	Нет	Нет	25	Нет	0
8500	1700	6	04.01.03	Иное	1	21	Муж	специальное	Да	Да	36	нет жилья в собственности	область	отечественная	5	Да	Нет	Да	Да	малое	8	Транспорт и связь	Участие в основной деятельности	неруководящая	3	3	4500	1000	Содержание/аренда недвижимости, а/т	1	Да	Да	14	Да	1
20500	4100	18	04.01.03	Оплата услуг (мед., юрид. и т.п.)	1	35	Жен	высшее	Нет	Нет	25	другое	центр	отечественная	5	Да	Нет	Нет	Да	крупное	3	Машиностроение и металлообработка	Бухгалтерия, финансы и планирование	неруководящая	4	6	5000	1000	Покупка товаров длит. пользования	3	Да	Да	29	Да	1
7000	1400	6	04.01.03	Иное	1	25	Жен	среднее	Да	Да	34	другое	область	отечественная	2	Да	Да	Да	Да	малое	8	Правоохранительные органы	Снабжение и сбыт	неруководящая	3	4	4500	1000	Покупка товаров длит. пользования	1	Нет	Нет	22	Да	1
15500	3100	6	04.01.03	Турпоездки, развлечения и т.п.	1	29	Жен	высшее	Да	Нет	46	другое	центр	Нет автомобиля	4	Нет	Нет	Да	Нет	крупное	3	Образование (комерч.)	Участие в основной деятельности	неруководящая	3	4	6000	2000	Одежда, продукты питания и т.п.	0	Да	Да	11	Да	1
25000	5000	12	04.01.03	Покупка и ремонт недвижимости	1	54	Муж	специальное	Да	Да	46	другое	центр	отечественная	1	Да	Да	Да	Да	среднее	17	Образование (гос.)	Пр.-техн. обесп. и телекомуникации	неруководящая	2	7	5500	1500	Турпоездки, развлечения и т.п.	2	Да	Да	32	Да	1
61500	12300	36	04.01.03	Покупка товара	1	22	Жен	специальное	Да	Да	26	другое	центр	отечественная	2	Нет	Нет	Да	Нет	малое	22	Финансы, банковское дело	Бухгалтерия, финансы и планирование	неруководящая	4	4	5000	1500	Иное	1	Да	Да	14	Нет	0
43500	8700	12	04.01.03	Иное	1	41	Муж	высшее	Да	Да	15	другое	центр	отечественная	3	Нет	Нет	Да	Нет	малое	8	Вооруженные силы	Снабжение и сбыт	неруководящая	3	2	10500	4500	Иное	3	Да	Да	14	Да	1
69500	13900	36	04.01.03	Покупка и ремонт недвижимости	1	63	Муж	специальное	Нет	Да	37	другое	центр	импортная	4	Да	Да	Да	Да	малое	3	Торговля оптовая, поср. деательность	Реклама и маркетинг	неруководящая	2	8	5500	1500	Содержание/аренда недвижимости, а/т	3	Да	Да	33	Нет	0
42000	8400	18	04.01.03	Иное	1	28	Жен	специальное	Да	Да	17	нет жилья в собственности	центр	отечественная	3	Нет	Да	Да	Нет	малое	26	Образование (гос.)	Участие в основной деятельности	неруководящая	3	10	5500	1500	Содержание/аренда недвижимости, а/т	0	Нет	Нет	14	Нет	0
25000	5000	12	04.01.03	Оплата услуг (мед., юрид. и т.п.)	1	24	Жен	высшее	Да	Да	51	другое	область	отечественная	4	Нет	Нет	Нет	Да	крупное	18	Коммунальное хо-во / Сфера услуг	Участие в основной деятельности	руководящая	3	5	5500	1500	Покупка товаров длит. пользования	0	Да	Да	4	Нет	0
23500	4700	12	04.01.03	Оплата за образование	1	24	Муж	специальное	Да	Нет	29	другое	центр	импортная	3	Нет	Нет	Да	Нет	крупное	6	Легкая и пищевая промышленность	Участие в основной деятельности	неруководящая	4	11	5000	1000	Одежда, продукты питания и т.п.	1	Да	Нет	7	Да	1
23500	4700	12	05.01.03	Оплата за образование	1	27	Жен	специальное	Да	Нет	49	другое	центр	отечественная	4	Да	Да	Да	Нет	малое	13	Торговля розничная	Участие в основной деятельности	неруководящая	2	11	5000	1000	Затраты на образование (в т.ч. детей)	1	Нет	Нет	22	Да	1
39000	7800	18	05.01.03	Покупка и ремонт недвижимости	1	70	Муж	специальное	Да	Да	25	другое	центр	отечественная	4	Нет	Нет	Нет	Да	среднее	8	Машиностроение и металлообработка	Пр.-техн. обесп. и телекомуникации	неруководящая	5	5	7000	2500	Затраты на образование (в т.ч. детей)	2	Да	Да	33	Нет	0
14500	2900	12	05.01.03	Покупка и ремонт недвижимости	1	28	Муж	высшее	Нет	Да	28	другое	центр	импортная	3	Нет	Да	Да	Да	малое	7	Торговля оптовая, поср. деательность	Участие в основной деятельности	руководящая	3	5	4500	1000	Помощь родственникам	1	Да	Да	21	Нет	0
24500	4900	18	05.01.03	Покупка товара	1	24	Муж	специальное	Да	Нет	36	нет жилья в собственности	центр	отечественная	7	Нет	Да	Да	Да	крупное	8	Увесилительный, игровой и шой-бизнес	Снабжение и сбыт	неруководящая	6	5	4500	1000	Мобильная связь, Интернет	0	Да	Нет	20	Нет	0
16500	3300	6	05.01.03	Покупка товара	1	48	Жен	высшее	Да	Да	28	другое	центр	импортная	12	Да	Да	Да	Да	малое	9	Транспорт и связь	Участие в основной деятельности	неруководящая	3	3	6000	2000	Турпоездки, развлечения и т.п.	2	Да	Да	23	Да	1
4500	900	6	05.01.03	Покупка товара	1	20	Жен	специальное	Да	Нет	21	покупка	центр	отечественная	5	Нет	Да	Да	Да	крупное	7	Реклама, PR-Агенства, СМИ	Участие в основной деятельности	неруководящая	4	2	4500	1000	Турпоездки, развлечения и т.п.	0	Нет	Нет	12	Да	1
2000	400	6	05.01.03	Покупка и ремонт недвижимости	1	48	Жен	специальное	Да	Нет	53	покупка	центр	отечественная	9	Нет	Нет	Да	Да	крупное	27	Сельское хозяйство	Участие в основной деятельности	руководящая	4	2	4000	500	Содержание/аренда недвижимости, а/т	3	Да	Да	26	Да	1
37000	7400	18	05.01.03	Покупка товара	1	21	Жен	специальное	Нет	Да	31	другое	центр	Нет автомобиля	7	Нет	Да	Да	Да	малое	25	Вооруженные силы	Участие в основной деятельности	неруководящая	3	5	5500	1500	Помощь родственникам	1	Нет	Нет	13	Нет	0
15000	3000	12	05.01.03	Оплата за образование	1	44	Муж	специальное	Да	Да	41	покупка	центр	отечественная	2	Нет	Нет	Да	Нет	крупное	8	Наука и культура	Участие в основной деятельности	неруководящая	3	10	5500	2000	Покупка и ремонт недвижимости	1	Да	Да	18	Нет	0
40500	8100	24	05.01.03	Оплата услуг (мед., юрид. и т.п.)	1	70	Жен	среднее	Да	Да	37	другое	центр	отечественная	7	Да	Нет	Да	Да	крупное	8	Торговля оптовая, поср. деательность	Участие в основной деятельности	руководящая	2	2	5500	1500	Покупка товаров длит. пользования	3	Да	Нет	43	Нет	0
36000	7200	24	05.01.03	Покупка товара	1	25	Жен	высшее	Да	Нет	27	другое	центр	отечественная	10	Нет	Нет	Нет	Да	крупное	10	Финансы, банковское дело	Участие в основной деятельности	неруководящая	5	4	5000	1500	Затраты на образование (в т.ч. детей)	1	Да	Да	10	Нет	0
39500	7900	12	05.01.03	Покупка товара	1	21	Муж	специальное	Да	Нет	22	покупка	область	отечественная	4	Нет	Да	Нет	Да	среднее	7	Торговля розничная	Вспомогательный технический персонал	неруководящая	4	2	7500	3000	Покупка и ремонт недвижимости	0	Да	Нет	12	Нет	0
34500	6900	30	05.01.03	Иное	1	47	Муж	высшее	Да	Нет	34	другое	центр	Нет автомобиля	2	Нет	Нет	Да	Да	малое	21	Образование (гос.)	Участие в основной деятельности	неруководящая	5	5	5000	1500	Турпоездки, развлечения и т.п.	2	Да	Да	22	Нет	0
50500	10100	36	06.01.03	Покупка и ремонт недвижимости	1	19	Жен	специальное	Нет	Нет	18	покупка	центр	отечественная	6	Нет	Нет	Нет	Нет	малое	8	Финансы, банковское дело	Участие в основной деятельности	неруководящая	2	12	4500	1000	Содержание/аренда недвижимости, а/т	1	Да	Нет	12	Нет	0
17500	3500	12	06.01.03	Оплата за образование	1	20	Муж	специальное	Да	Нет	37	покупка	область	отечественная	1	Нет	Нет	Да	Да	малое	42	Юридические и нотариальные услуги	Пр.-техн. обесп. и телекомуникации	руководящая	3	7	5500	1000	Затраты на образование (в т.ч. детей)	1	Да	Да	13	Нет	0
30000	6000	18	06.01.03	Иное	1	25	Жен	высшее	Да	Да	44	покупка	центр	импортная	3	Да	Нет	Нет	Да	крупное	19	Транспорт и связь	Участие в основной деятельности	руководящая	6	14	5000	1000	Покупка и ремонт недвижимости	0	Да	Да	20	Да	1
8000	1600	6	06.01.03	Покупка товара	1	40	Муж	специальное	Да	Да	44	другое	центр	отечественная	8	Нет	Нет	Нет	Нет	среднее	8	Наука и культура	Служба безопасности	руководящая	5	5	4500	1000	Затраты на образование (в т.ч. детей)	2	Нет	Нет	29	Да	1
26500	5300	18	06.01.03	Покупка и ремонт недвижимости	1	36	Жен	высшее	Да	Да	36	другое	центр	отечественная	2	Да	Да	Да	Нет	малое	6	Туризм	Участие в основной деятельности	неруководящая	4	2	4500	1000	Иное	3	Да	Да	19	Нет	0
3500	700	6	06.01.03	Иное	1	28	Муж	специальное	Нет	Да	41	другое	центр	Нет автомобиля	9	Нет	Нет	Нет	Да	крупное	20	Коммунальное хо-во / Сфера услуг	Участие в основной деятельности	неруководящая	4	2	4000	500	Покупка и ремонт недвижимости	0	Да	Да	9	Да	1
31000	6200	18	06.01.03	Оплата за образование	1	27	Жен	специальное	Да	Да	27	другое	область	отечественная	6	Да	Нет	Нет	Нет	крупное	7	Машиностроение и металлообработка	Снабжение и сбыт	руководящая	3	4	5000	1500	Затраты на образование (в т.ч. детей)	1	Да	Да	11	Нет	0
40500	8100	24	06.01.03	Покупка товара	1	40	Жен	специальное	Да	Нет	19	другое	центр	импортная	3	Нет	Нет	Да	Да	среднее	5	Увесилительный, игровой и шой-бизнес	Служба безопасности	руководящая	3	10	5000	1000	Выплаты по кредитам/займам	2	Да	Нет	20	Нет	0
38000	7600	18	06.01.03	Покупка и ремонт недвижимости	1	27	Муж	специальное	Да	Нет	58	другое	центр	Нет автомобиля	1	Нет	Нет	Да	Да	крупное	23	Транспорт и связь	Участие в основной деятельности	руководящая	5	11	5500	2000	Покупка товаров длит. пользования	0	Да	Да	8	Нет	0
15500	3100	12	06.01.03	Покупка товара	1	57	Жен	специальное	Да	Нет	26	другое	область	Нет автомобиля	1	Нет	Да	Да	Да	малое	7	Увесилительный, игровой и шой-бизнес	Участие в основной деятельности	неруководящая	4	4	5500	2000	Одежда, продукты питания и т.п.	3	Да	Да	33	Нет	0
13500	2700	6	06.01.03	Покупка и ремонт недвижимости	1	29	Жен	специальное	Нет	Да	41	покупка	центр	импортная	9	Нет	Нет	Да	Нет	крупное	2	Транспорт и связь	Бухгалтерия, финансы и планирование	неруководящая	1	4	6000	2000	Турпоездки, развлечения и т.п.	0	Да	Да	22	Да	1
11000	2200	6	06.01.03	Покупка и ремонт недвижимости	1	46	Муж	специальное	Нет	Нет	28	другое	центр	отечественная	3	Нет	Да	Да	Да	крупное	15	Образование (комерч.)	Адм.-хоз. и транспортная службы	неруководящая	3	10	5500	1000	Затраты на образование (в т.ч. детей)	2	Да	Да	30	Да	1
5000	1000	6	06.01.03	Покупка товара	1	44	Муж	специальное	Да	Да	34	покупка	центр	Нет автомобиля	3	Да	Нет	Нет	Нет	малое	4	Наука и культура	Участие в основной деятельности	руководящая	3	7	4000	500	Покупка товаров длит. пользования	3	Да	Да	21	Да	1
9500	1900	6	07.01.03	Покупка и ремонт недвижимости	1	24	Жен	специальное	Да	Да	35	другое	центр	отечественная	3	Нет	Нет	Нет	Да	малое	7	Ощественное питание	Участие в основной деятельности	неруководящая	1	10	5000	1000	Содержание/аренда недвижимости, а/т	1	Да	Нет	6	Да	1
20500	4100	18	07.01.03	Покупка товара	1	36	Жен	специальное	Да	Нет	18	покупка	центр	Нет автомобиля	2	Да	Нет	Да	Нет	среднее	10	Здравоохранение (гос.)	Участие в основной деятельности	неруководящая	3	16	4500	1000	Покупка товаров длит. пользования	1	Да	Да	30	Нет	0
18500	3700	6	07.01.03	Оплата за образование	1	25	Муж	специальное	Да	Да	42	другое	центр	Нет автомобиля	2	Нет	Да	Нет	Да	среднее	19	Сельское хозяйство	Участие в основной деятельности	неруководящая	4	8	6500	2000	Покупка и ремонт недвижимости	1	Да	Нет	8	Да	1
36500	7300	18	07.01.03	Покупка и ремонт недвижимости	1	50	Муж	среднее	Да	Да	12	другое	центр	импортная	2	Нет	Нет	Нет	Нет	среднее	8	Увесилительный, игровой и шой-бизнес	Адм.-хоз. и транспортная службы	неруководящая	2	8	5500	2000	Покупка и ремонт недвижимости	3	Да	Да	22	Нет	0
15500	3100	12	07.01.03	Покупка товара	1	55	Муж	специальное	Да	Нет	38	покупка	область	отечественная	1	Нет	Нет	Нет	Нет	крупное	2	Увесилительный, игровой и шой-бизнес	Участие в основной деятельности	неруководящая	2	11	4500	500	Покупка товаров длит. пользования	2	Нет	Нет	33	Да	1
30500	6100	12	07.01.03	Турпоездки, развлечения и т.п.	1	20	Муж	специальное	Да	Да	28	другое	область	отечественная	2	Нет	Да	Нет	Да	крупное	33	Издательская деательность	Бухгалтерия, финансы и планирование	неруководящая	5	2	6000	2000	Покупка и ремонт недвижимости	1	Нет	Нет	12	Нет	0
19000	3800	12	07.01.03	Покупка и ремонт недвижимости	1	34	Муж	специальное	Да	Нет	24	другое	центр	отечественная	5	Нет	Нет	Да	Да	среднее	9	Машиностроение и металлообработка	Участие в основной деятельности	неруководящая	4	3	5000	1500	Одежда, продукты питания и т.п.	2	Нет	Нет	19	Нет	0
17000	3400	12	07.01.03	Покупка и ремонт недвижимости	1	53	Жен	специальное	Да	Да	35	покупка	область	отечественная	5	Нет	Да	Нет	Нет	среднее	6	Информатика и телекоммуникации	Участие в основной деятельности	неруководящая	4	8	5000	1500	Покупка и ремонт недвижимости	3	Да	Да	22	Нет	0
22000	4400	12	07.01.03	Покупка товара	1	39	Муж	высшее	Да	Да	21	другое	область	отечественная	1	Нет	Да	Нет	Да	малое	16	Информатика и телекоммуникации	Участие в основной деятельности	руководящая	3	5	5000	1500	Одежда, продукты питания и т.п.	3	Да	Нет	15	Нет	0
31000	6200	18	07.01.03	Оплата услуг (мед., юрид. и т.п.)	1	37	Муж	специальное	Нет	Нет	54	другое	центр	импортная	5	Нет	Нет	Да	Да	малое	3	Увесилительный, игровой и шой-бизнес	Участие в основной деятельности	неруководящая	4	9	5000	1000	Покупка и ремонт недвижимости	2	Да	Да	20	Да	1
12000	2400	6	07.01.03	Покупка и ремонт недвижимости	1	22	Муж	специальное	Да	Нет	44	другое	центр	импортная	3	Нет	Нет	Да	Нет	крупное	10	Федеральное и муниципальное управление	Пр.-техн. обесп. и телекомуникации	неруководящая	4	8	5500	1500	Помощь родственникам	1	Да	Нет	16	Да	1
