Arrow Source            	Arrow Name              	Arrow Dest.             	Arrow Dest. Type        	
                        	                        	Оплата телефонных       	Mechanism               	
                        	                        	переговоров             	                        	

                        	                        	Персонал                	External                	

                        	                        	Персонал                	External                	

{ Border }              	Плата за услуги         	Прием  предоплаты       	Input                   	

                        	                        	Подготовка номеров      	Input                   	

                        	                        	Плановое обслуживание   	Input                   	
                        	                        	номеров                 	                        	

                        	                        	Оплата телефонных       	Input                   	
                        	                        	переговоров             	                        	

{ Border }              	Помещение               	Оформление выезда       	Mechanism               	

                        	                        	Помещение               	External                	

{ Border }              	Правила гостиницы       	Прием  предоплаты       	Control                 	

                        	                        	Администрирование ключей	Control                 	

                        	                        	Оформление выезда       	Control                 	

                        	                        	Подготовка номеров      	Control                 	

                        	                        	Плановое обслуживание   	Control                 	
                        	                        	номеров                 	                        	

                        	                        	Оповещение о пропущенных	Control                 	
                        	                        	звонках                 	                        	

                        	                        	Соединение с номером    	Control                 	

                        	                        	Ведение телефонных      	Control                 	
                        	                        	переговоров             	                        	

                        	                        	Оплата телефонных       	Control                 	
                        	                        	переговоров             	                        	

                        	                        	Правила гостиницы       	Data Store              	

                        	                        	Правила гостиницы       	Data Store              	

Правила гостиницы       	Правила поселения       	Оформление въезда       	Input                   	

Правила гостиницы       	Правила предоставления  	Обработка заказа        	Input                   	
                        	номеров                 	                        	                        	

Прием  предоплаты       	Прибыль                 	{ Border }              	Output                  	

Подготовка номеров      	                        	                        	                        	

Плановое обслуживание   	                        	                        	                        	
номеров                 	                        	                        	                        	

Оплата телефонных       	                        	                        	                        	
переговоров             	                        	                        	                        	

Обновление данных о     	Резерв номера           	Обработка запроса       	Input                   	
номерах                 	                        	                        	                        	

Анализ срока пребывания 	Результат анализа       	Формирование счета за   	Input                   	
                        	                        	проживание              	                        	

Оформление выезда       	Счет                    	Оплата телефонных       	Input                   	
                        	                        	переговоров             	                        	

Ведение телефонных      	                        	                        	                        	
переговоров             	                        	                        	                        	

Формирование счета за   	Счет за проживание      	Untitled Object         	Input                   	
проживание              	                        	                        	                        	

Формирование счета за   	Счет за телефонные      	Untitled Object         	Input                   	
телефонные переговоры   	переговоры              	                        	                        	

Формирование счета за   	Счет за услуги          	Untitled Object         	Input                   	
услуги                  	                        	                        	                        	

Обработка запроса       	Удаленный запрос        	Оформление въезда       	Input                   	

Формирование счета за   	Учет                    	Внесенная преоплата     	External                	
проживание              	                        	                        	                        	

